common-block,file,module,operation,direction
numeric.py,/home/dl/.local/lib/python3.10/site-packages/numpy/_core/numeric.py,lib_core.numeric,ufunc,WRITE
numeric.py,/home/dl/.local/lib/python3.10/site-packages/numpy/_core/numeric.py,lib_core.numeric,newaxis,WRITE
numeric.py,/home/dl/.local/lib/python3.10/site-packages/numpy/_core/numeric.py,lib_core.numeric,array_function_dispatch,WRITE
numeric.py,/home/dl/.local/lib/python3.10/site-packages/numpy/_core/numeric.py,lib_core.numeric,__all__,WRITE
numeric.py,/home/dl/.local/lib/python3.10/site-packages/numpy/_core/numeric.py,lib_core.numeric,_ones_with_like,WRITE
numeric.py,/home/dl/.local/lib/python3.10/site-packages/numpy/_core/numeric.py,lib_core.numeric,_full_with_like,WRITE
numeric.py,/home/dl/.local/lib/python3.10/site-packages/numpy/_core/numeric.py,lib_core.numeric,little_endian,WRITE
numeric.py,/home/dl/.local/lib/python3.10/site-packages/numpy/_core/numeric.py,lib_core.numeric,_fromfunction_with_like,WRITE
numeric.py,/home/dl/.local/lib/python3.10/site-packages/numpy/_core/numeric.py,lib_core.numeric,_identity_with_like,WRITE
numeric.py,/home/dl/.local/lib/python3.10/site-packages/numpy/_core/numeric.py,lib_core.numeric,_no_nan_types,WRITE
numeric.py,/home/dl/.local/lib/python3.10/site-packages/numpy/_core/numeric.py,lib_core.numeric,inf,WRITE
numeric.py,/home/dl/.local/lib/python3.10/site-packages/numpy/_core/numeric.py,lib_core.numeric,nan,WRITE
numeric.py,/home/dl/.local/lib/python3.10/site-packages/numpy/_core/numeric.py,lib_core.numeric,False_,WRITE
numeric.py,/home/dl/.local/lib/python3.10/site-packages/numpy/_core/numeric.py,lib_core.numeric,True_,WRITE
arrayprint.py,/home/dl/.local/lib/python3.10/site-packages/numpy/_core/arrayprint.py,lib_core.arrayprint,__all__,WRITE
arrayprint.py,/home/dl/.local/lib/python3.10/site-packages/numpy/_core/arrayprint.py,lib_core.arrayprint,__docformat__,WRITE
arrayprint.py,/home/dl/.local/lib/python3.10/site-packages/numpy/_core/arrayprint.py,lib_core.arrayprint,_typelessdata,WRITE
arrayprint.py,/home/dl/.local/lib/python3.10/site-packages/numpy/_core/arrayprint.py,lib_core.arrayprint,_array2string_impl,WRITE
arrayprint.py,/home/dl/.local/lib/python3.10/site-packages/numpy/_core/arrayprint.py,lib_core.arrayprint,_default_array_str,WRITE
arrayprint.py,/home/dl/.local/lib/python3.10/site-packages/numpy/_core/arrayprint.py,lib_core.arrayprint,_default_array_repr,WRITE
test_strings.py,/home/dl/.local/lib/python3.10/site-packages/numpy/_core/tests/test_strings.py,lib_core.test_strings,COMPARISONS,WRITE
test_strings.py,/home/dl/.local/lib/python3.10/site-packages/numpy/_core/tests/test_strings.py,lib_core.test_strings,MAX,WRITE
test_strings.py,/home/dl/.local/lib/python3.10/site-packages/numpy/_core/tests/test_strings.py,lib_core.test_strings,IS_PYPY_LT_7_3_16,WRITE
__init__.py,/home/dl/.local/lib/python3.10/site-packages/numpy/random/__init__.py,terandom.__init__,__all__,WRITE
__init__.py,/home/dl/.local/lib/python3.10/site-packages/numpy/random/__init__.py,terandom.__init__,__all__,WRITE
__init__.py,/home/dl/.local/lib/python3.10/site-packages/numpy/random/__init__.py,terandom.__init__,test,WRITE
memmap.py,/home/dl/.local/lib/python3.10/site-packages/numpy/_core/memmap.py,lib_core.memmap,__all__,WRITE
memmap.py,/home/dl/.local/lib/python3.10/site-packages/numpy/_core/memmap.py,lib_core.memmap,dtypedescr,WRITE
memmap.py,/home/dl/.local/lib/python3.10/site-packages/numpy/_core/memmap.py,lib_core.memmap,valid_filemodes,WRITE
memmap.py,/home/dl/.local/lib/python3.10/site-packages/numpy/_core/memmap.py,lib_core.memmap,writeable_filemodes,WRITE
memmap.py,/home/dl/.local/lib/python3.10/site-packages/numpy/_core/memmap.py,lib_core.memmap,mode_equivalents,WRITE
test_errstate.py,/home/dl/.local/lib/python3.10/site-packages/numpy/_core/tests/test_errstate.py,lib_core.test_errstate,hosttype,WRITE
test_errstate.py,/home/dl/.local/lib/python3.10/site-packages/numpy/_core/tests/test_errstate.py,lib_core.test_errstate,arm_softfloat,WRITE
arithmetic.py,/home/dl/.local/lib/python3.10/site-packages/numpy/typing/tests/data/pass/arithmetic.py,typingtests.arithmetic,c16,WRITE
arithmetic.py,/home/dl/.local/lib/python3.10/site-packages/numpy/typing/tests/data/pass/arithmetic.py,typingtests.arithmetic,f8,WRITE
arithmetic.py,/home/dl/.local/lib/python3.10/site-packages/numpy/typing/tests/data/pass/arithmetic.py,typingtests.arithmetic,i8,WRITE
arithmetic.py,/home/dl/.local/lib/python3.10/site-packages/numpy/typing/tests/data/pass/arithmetic.py,typingtests.arithmetic,u8,WRITE
arithmetic.py,/home/dl/.local/lib/python3.10/site-packages/numpy/typing/tests/data/pass/arithmetic.py,typingtests.arithmetic,c8,WRITE
arithmetic.py,/home/dl/.local/lib/python3.10/site-packages/numpy/typing/tests/data/pass/arithmetic.py,typingtests.arithmetic,f4,WRITE
arithmetic.py,/home/dl/.local/lib/python3.10/site-packages/numpy/typing/tests/data/pass/arithmetic.py,typingtests.arithmetic,i4,WRITE
arithmetic.py,/home/dl/.local/lib/python3.10/site-packages/numpy/typing/tests/data/pass/arithmetic.py,typingtests.arithmetic,u4,WRITE
