file,operation
numpy.polynomial.laguerre,lagval2d
numpy.polynomial.laguerre,laggrid2d
numpy.polynomial.laguerre,lagval3d
numpy.polynomial.laguerre,laggrid3d
numpy.polynomial.laguerre,lagvander
numpy.polynomial.laguerre,lagvander2d
numpy.polynomial.laguerre,lagvander3d
numpy.polynomial.laguerre,lagfit
numpy.polynomial.laguerre,lagcompanion
numpy.polynomial.laguerre,lagroots
numpy.polynomial.laguerre,laggauss
numpy.polynomial.laguerre,lagweight
numpy.polynomial.hermite_e,poly2herme
numpy.polynomial.hermite_e,herme2poly
numpy.polynomial.hermite_e,hermeline
numpy.polynomial.hermite_e,hermefromroots
numpy.polynomial.hermite_e,hermeadd
numpy.polynomial.hermite_e,hermesub
numpy.polynomial.hermite_e,hermemulx
numpy.polynomial.hermite_e,hermemul
numpy.polynomial.hermite_e,hermediv
numpy.polynomial.hermite_e,hermepow
numpy.polynomial.hermite_e,hermeder
numpy.polynomial.hermite_e,hermeint
numpy.polynomial.hermite_e,hermeval
numpy.polynomial.hermite_e,hermeval2d
numpy.polynomial.hermite_e,hermegrid2d
numpy.polynomial.hermite_e,hermeval3d
numpy.polynomial.hermite_e,hermegrid3d
numpy.polynomial.hermite_e,hermevander
numpy.polynomial.hermite_e,hermevander2d
numpy.polynomial.hermite_e,hermevander3d
numpy.polynomial.hermite_e,hermefit
numpy.polynomial.hermite_e,hermecompanion
numpy.polynomial.hermite_e,hermeroots
numpy.polynomial.hermite_e,_normed_hermite_e_n
numpy.polynomial.hermite_e,hermegauss
numpy.polynomial.hermite_e,hermeweight
numpy.polynomial.polyutils,trimseq
numpy.polynomial.polyutils,as_series
numpy.polynomial.polyutils,trimcoef
numpy.polynomial.polyutils,getdomain
numpy.polynomial.polyutils,mapparms
numpy.polynomial.polyutils,mapdomain
numpy.polynomial.polyutils,_nth_slice
numpy.polynomial.polyutils,_vander_nd
numpy.polynomial.polyutils,_vander_nd_flat
numpy.polynomial.polyutils,_fromroots
numpy.polynomial.polyutils,_valnd
numpy.polynomial.polyutils,_gridnd
numpy.polynomial.polyutils,_div
numpy.polynomial.polyutils,_add
numpy.polynomial.polyutils,_sub
numpy.polynomial.polyutils,_fit
numpy.polynomial.polyutils,_pow
numpy.polynomial.polyutils,_as_int
numpy.polynomial.polyutils,format_float
numpy.polynomial.hermite,poly2herm
numpy.polynomial.hermite,herm2poly
numpy.polynomial.hermite,hermline
numpy.polynomial.hermite,hermfromroots
numpy.polynomial.hermite,hermadd
numpy.polynomial.hermite,hermsub
numpy.polynomial.hermite,hermmulx
numpy.polynomial.hermite,hermmul
numpy.polynomial.hermite,hermdiv
numpy.polynomial.hermite,hermpow
numpy.polynomial.hermite,hermder
numpy.polynomial.hermite,hermint
numpy.polynomial.hermite,hermval
numpy.polynomial.hermite,hermval2d
numpy.polynomial.hermite,hermgrid2d
numpy.polynomial.hermite,hermval3d
numpy.polynomial.hermite,hermgrid3d
numpy.polynomial.hermite,hermvander
numpy.polynomial.hermite,hermvander2d
numpy.polynomial.hermite,hermvander3d
numpy.polynomial.hermite,hermfit
numpy.polynomial.hermite,hermcompanion
numpy.polynomial.hermite,hermroots
numpy.polynomial.hermite,_normed_hermite_n
numpy.polynomial.hermite,hermgauss
numpy.polynomial.hermite,hermweight
numpy.polynomial.__init__,set_default_printstyle
numpy.polynomial.tests.test_symbol,test_composition
numpy.polynomial.tests.test_symbol,test_fit
numpy.polynomial.tests.test_symbol,test_froomroots
numpy.polynomial.tests.test_symbol,test_identity
numpy.polynomial.tests.test_symbol,test_basis
numpy.polynomial.tests.test_hermite_e,trim
numpy.polynomial.tests.test_hermite_e,f
numpy.polynomial.tests.test_hermite_e,f2
numpy.polynomial.tests.test_chebyshev,trim
numpy.polynomial.tests.test_chebyshev,f
numpy.polynomial.tests.test_chebyshev,f2
numpy.polynomial.tests.test_chebyshev,powx
numpy.polynomial.tests.test_polynomial,trim
numpy.polynomial.tests.test_polynomial,f
numpy.polynomial.tests.test_polynomial,f2
numpy.polynomial.tests.test_classes,Poly
numpy.polynomial.tests.test_classes,assert_poly_almost_equal
numpy.polynomial.tests.test_classes,test_conversion
numpy.polynomial.tests.test_classes,test_cast
numpy.polynomial.tests.test_classes,test_identity
numpy.polynomial.tests.test_classes,test_basis
numpy.polynomial.tests.test_classes,test_fromroots
numpy.polynomial.tests.test_classes,test_bad_conditioned_fit
numpy.polynomial.tests.test_classes,test_fit
numpy.polynomial.tests.test_classes,f
numpy.polynomial.tests.test_classes,test_equal
numpy.polynomial.tests.test_classes,test_not_equal
numpy.polynomial.tests.test_classes,test_add
numpy.polynomial.tests.test_classes,test_sub
numpy.polynomial.tests.test_classes,test_mul
numpy.polynomial.tests.test_classes,test_floordiv
numpy.polynomial.tests.test_classes,test_truediv
numpy.polynomial.tests.test_classes,test_mod
numpy.polynomial.tests.test_classes,test_divmod
numpy.polynomial.tests.test_classes,test_roots
numpy.polynomial.tests.test_classes,test_degree
numpy.polynomial.tests.test_classes,test_copy
numpy.polynomial.tests.test_classes,test_integ
numpy.polynomial.tests.test_classes,test_deriv
numpy.polynomial.tests.test_classes,test_linspace
numpy.polynomial.tests.test_classes,test_pow
numpy.polynomial.tests.test_classes,test_call
numpy.polynomial.tests.test_classes,test_call_with_list
numpy.polynomial.tests.test_classes,test_cutdeg
numpy.polynomial.tests.test_classes,test_truncate
numpy.polynomial.tests.test_classes,test_trim
numpy.polynomial.tests.test_classes,test_mapparms
numpy.polynomial.tests.test_classes,test_ufunc_override
numpy.polynomial.tests.test_classes,powx
numpy.polynomial.tests.test_laguerre,trim
numpy.polynomial.tests.test_laguerre,f
numpy.polynomial.tests.test_legendre,trim
numpy.polynomial.tests.test_legendre,f
numpy.polynomial.tests.test_legendre,f2
numpy.polynomial.tests.test_hermite,trim
numpy.polynomial.tests.test_hermite,f
numpy.polynomial.tests.test_hermite,f2
numpy.polynomial.tests.test_printing,test_set_default_printoptions
numpy.polynomial.tests.test_printing,test_complex_coefficients
numpy.polynomial.tests.test_printing,test_numeric_object_coefficients
numpy.polynomial.tests.test_printing,test_nonnumeric_object_coefficients
numpy.polynomial.tests.test_printing,test_symbol
numpytyping.mypy_plugin,_get_precision_dict
numpytyping.mypy_plugin,_get_extended_precision_list
numpytyping.mypy_plugin,_get_c_intp_name
numpytyping.mypy_plugin,_hook
numpytyping.mypy_plugin,_index
numpytyping.mypy_plugin,_override_imports
numpytyping.mypy_plugin,plugin
numpytyping.mypy_plugin,plugin
typingtests.test_typing,_key_func
typingtests.test_typing,_strip_filename
typingtests.test_typing,strip_func
typingtests.test_typing,run_mypy
typingtests.test_typing,get_test_cases
typingtests.test_typing,test_success
typingtests.test_typing,test_fail
typingtests.test_typing,_test_fail
typingtests.test_typing,test_reveal
typingtests.test_typing,test_code_runs
typingtests.test_typing,test_extended_precision
typingtests.test_runtime,test_get_args
typingtests.test_runtime,test_get_origin
typingtests.test_runtime,test_get_type_hints
typingtests.test_runtime,func
typingtests.test_runtime,test_get_type_hints_str
typingtests.test_runtime,func
typingtests.test_runtime,test_keys
typingtests.shape,accepts_2d
typingtests.array_constructors,func
typingtests.lib_utils,func
typingtests.ufunc_config,func1
typingtests.ufunc_config,func2
typingtests.ufunc_config,func3
typingtests.simple,ndarray_func
typingtests.simple,iterable_func
terandom._pickle,__bit_generator_ctor
terandom._pickle,__generator_ctor
terandom._pickle,__randomstate_ctor
terandom.__init__,__RandomState_ctor
randomtests.test_direct,assert_state_equal
randomtests.test_direct,uint32_to_float32
randomtests.test_direct,uniform32_from_uint64
randomtests.test_direct,uniform32_from_uint53
randomtests.test_direct,uniform32_from_uint32
randomtests.test_direct,uniform32_from_uint
randomtests.test_direct,uniform_from_uint
randomtests.test_direct,uniform_from_uint64
randomtests.test_direct,uniform_from_uint32
randomtests.test_direct,uniform_from_dsfmt
randomtests.test_direct,gauss_from_uint
randomtests.test_direct,test_seedsequence
randomtests.test_direct,test_generator_spawning
randomtests.test_direct,test_non_spawnable
randomtests.test_direct,setup_class
randomtests.test_direct,_read_csv
randomtests.test_direct,setup_class
randomtests.test_direct,setup_class
randomtests.test_direct,setup_class
randomtests.test_direct,setup_class
randomtests.test_direct,setup_class
randomtests.test_smoke,dtype
randomtests.test_smoke,params_0
randomtests.test_smoke,params_1
randomtests.test_smoke,comp_state
randomtests.test_smoke,warmup
randomtests.test_smoke,setup_class
randomtests.test_smoke,_extra_setup
randomtests.test_smoke,setup_class
randomtests.test_smoke,setup_class
randomtests.test_smoke,setup_class
randomtests.test_smoke,setup_class
randomtests.test_smoke,setup_class
randomtests.test_smoke,setup_class
randomtests.test_randomstate,int_func
randomtests.test_randomstate,restore_singleton_bitgen
randomtests.test_randomstate,assert_mt19937_state_equal
randomtests.test_randomstate,gen_random
randomtests.test_randomstate,gen_random
randomtests.test_randomstate,gen_random
randomtests.test_randomstate,test_integer_dtype
randomtests.test_randomstate,test_integer_repeat
randomtests.test_randomstate,test_broadcast_size_error
randomtests.test_randomstate,test_randomstate_ctor_old_style_pickle
randomtests.test_randomstate,test_hot_swap
randomtests.test_randomstate,test_seed_alt_bit_gen
randomtests.test_randomstate,test_state_error_alt_bit_gen
randomtests.test_randomstate,test_swap_worked
randomtests.test_randomstate,test_swapped_singleton_against_direct
randomtests.test_generator_mt19937,endpoint
randomtests.test_generator_mt19937,gen_random
randomtests.test_generator_mt19937,gen_random
randomtests.test_generator_mt19937,gen_random
randomtests.test_generator_mt19937,test_jumped
randomtests.test_generator_mt19937,test_broadcast_size_error
randomtests.test_generator_mt19937,test_broadcast_size_scalar
randomtests.test_generator_mt19937,test_ragged_shuffle
randomtests.test_generator_mt19937,test_single_arg_integer_exception
randomtests.test_generator_mt19937,test_c_contig_req_out
randomtests.test_generator_mt19937,test_contig_req_out
randomtests.test_generator_mt19937,test_generator_ctor_old_style_pickle
randomtests.test_generator_mt19937,test_pickle_preserves_seed_sequence
randomtests.test_generator_mt19937,test_legacy_pickle
randomtests.test_randomstate_regression,test_multinomial_empty
randomtests.test_randomstate_regression,test_multinomial_1d_pval
randomtests.test_seed_sequence,test_reference_data
randomtests.test_seed_sequence,test_zero_padding
randomtests.test_random,gen_random
randomtests.test_random,gen_random
randomtests.test_random,gen_random
randomtests.test_extending,test_cython
randomtests.test_extending,load
randomtests.test_extending,test_numba
randomtests.test_extending,test_cffi
randomdata.extending_distributions,normals
randomdata.extending,normals
randomdata.extending,numbacall
randomdata.extending,numpycall
randomdata.extending,bounded_uint
randomdata.extending,bounded_uints
randomdata.parse,parse_distributions_h
omma.mrecords,_checknames
omma.mrecords,__new__
omma.mrecords,_mrreconstruct
omma.mrecords,fromarrays
omma.mrecords,fromrecords
omma.mrecords,_guessvartypes
omma.mrecords,openfile
omma.mrecords,fromtextfile
omma.mrecords,addfield
omma.core,_deprecate_argsort_axis
omma.core,doc_note
omma.core,get_object_signature
omma.core,_recursive_fill_value
omma.core,_get_dtype_of
omma.core,default_fill_value
omma.core,_scalar_fill_value
omma.core,_extremum_fill_value
omma.core,_scalar_fill_value
omma.core,minimum_fill_value
omma.core,maximum_fill_value
omma.core,_recursive_set_fill_value
omma.core,_check_fill_value
omma.core,set_fill_value
omma.core,get_fill_value
omma.core,common_fill_value
omma.core,filled
omma.core,get_masked_subclass
omma.core,getdata
omma.core,fix_invalid
omma.core,is_string_or_list_of_strings
omma.core,_replace_dtype_fields_recursive
omma.core,_replace_dtype_fields
omma.core,make_mask_descr
omma.core,getmask
omma.core,getmaskarray
omma.core,is_mask
omma.core,_shrink_mask
omma.core,make_mask
omma.core,make_mask_none
omma.core,_recursive_mask_or
omma.core,mask_or
omma.core,flatten_mask
omma.core,_flatmask
omma.core,_flatsequence
omma.core,_check_mask_axis
omma.core,masked_where
omma.core,masked_greater
omma.core,masked_greater_equal
omma.core,masked_less
omma.core,masked_less_equal
omma.core,masked_not_equal
omma.core,masked_equal
omma.core,masked_inside
omma.core,masked_outside
omma.core,masked_object
omma.core,masked_values
omma.core,masked_invalid
omma.core,_recursive_printoption
omma.core,_recursive_filled
omma.core,flatten_structured_array
omma.core,flatten_sequence
omma.core,_arraymethod
omma.core,__new__
omma.core,_recursive_or
omma.core,_is_scalar
omma.core,_scalar_heuristic
omma.core,_mareconstruct
omma.core,isMaskedArray
omma.core,__has_singleton
omma.core,__new__
omma.core,array
omma.core,is_masked
omma.core,min
omma.core,max
omma.core,ptp
omma.core,take
omma.core,power
omma.core,argsort
omma.core,sort
omma.core,compressed
omma.core,concatenate
omma.core,diag
omma.core,left_shift
omma.core,right_shift
omma.core,put
omma.core,putmask
omma.core,transpose
omma.core,reshape
omma.core,resize
omma.core,ndim
omma.core,shape
omma.core,size
omma.core,diff
omma.core,where
omma.core,choose
omma.core,fmask
omma.core,nmask
omma.core,round_
omma.core,_mask_propagate
omma.core,dot
omma.core,inner
omma.core,outer
omma.core,_convolve_or_correlate
omma.core,correlate
omma.core,convolve
omma.core,allequal
omma.core,allclose
omma.core,asarray
omma.core,asanyarray
omma.core,fromfile
omma.core,fromflex
omma.core,append
omma.testutils,approx
omma.testutils,almost
omma.testutils,_assert_equal_on_sequences
omma.testutils,assert_equal_records
omma.testutils,assert_equal
omma.testutils,fail_if_equal
omma.testutils,assert_almost_equal
omma.testutils,assert_array_compare
omma.testutils,assert_array_equal
