$0;1752840515035974241;2.0.2;KIEKER;ZORGLUB-42;1;false;0;NANOSECONDS;0
$1;1752840520355838405;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520355008735;1752840520355043360;localhost;32;1
$1;1752840520355853422;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520355126019;1752840520355158860;localhost;33;1
$1;1752840520355862600;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520355207733;1752840520355230816;localhost;34;1
$1;1752840520355871539;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520355275211;1752840520355298208;localhost;35;1
$1;1752840520355881054;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520355428355;1752840520355486899;localhost;36;1
$1;1752840520356066224;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520355589388;1752840520355624235;localhost;37;1
$1;1752840520356088492;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520355728774;1752840520355772704;localhost;38;1
$1;1752840520356099189;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520355847565;1752840520355896817;localhost;39;1
$1;1752840520356109182;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520355975568;1752840520356013891;localhost;40;1
$1;1752840520356163112;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520356107720;1752840520356143397;localhost;41;1
$1;1752840520356184900;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520356211479;1752840520356247787;localhost;42;1
$1;1752840520356197514;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520356307107;1752840520356340307;localhost;43;1
$1;1752840520356297611;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520356415436;1752840520356461599;localhost;44;1
$1;1752840520356360255;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520356563905;1752840520356602322;localhost;45;1
$1;1752840520356439276;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520356667790;1752840520356709249;localhost;46;1
$1;1752840520356737339;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520356928753;1752840520356972933;localhost;47;1
$1;1752840520356842268;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520357071942;1752840520357110056;localhost;48;1
$1;1752840520356922111;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520357239903;1752840520357282041;localhost;49;1
$1;1752840520357136629;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520357372656;1752840520357413925;localhost;50;1
$1;1752840520357211079;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520357551819;1752840520357588428;localhost;51;1
$1;1752840520357668388;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520357670651;1752840520357707847;localhost;52;1
$1;1752840520357833370;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520357860828;1752840520357905189;localhost;53;1
$1;1752840520357854709;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520358021006;1752840520358064744;localhost;54;1
$1;1752840520357869156;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520358136962;1752840520358215831;localhost;55;1
$1;1752840520358124001;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520358305067;1752840520358348771;localhost;56;1
$1;1752840520358215683;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520358501321;1752840520358540350;localhost;57;1
$1;1752840520358279979;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520358627912;1752840520358666906;localhost;58;1
$1;1752840520358479801;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520358744904;1752840520358781924;localhost;59;1
$1;1752840520358761157;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520358987625;1752840520359040344;localhost;60;1
$1;1752840520359553648;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520359623743;1752840520359731692;localhost;61;1
$1;1752840520359671849;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520359941735;1752840520359995407;localhost;62;1
$1;1752840520360029083;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520360119970;1752840520360274174;localhost;63;1
$1;1752840520361031267;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520360471011;1752840520360528729;localhost;64;1
$1;1752840520361062999;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520360778319;1752840520360830014;localhost;65;1
$1;1752840520361077004;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520360919084;1752840520360964311;localhost;66;1
$1;1752840520361089310;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520361036769;1752840520361073090;localhost;67;1
$1;1752840520361100791;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520361118943;1752840520361177996;localhost;68;1
$1;1752840520361113669;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520361250394;1752840520361329493;localhost;69;1
$1;1752840520361235829;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520361505646;1752840520361563922;localhost;70;1
$1;1752840520361442318;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520361673487;1752840520361713302;localhost;71;1
$1;1752840520361726504;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520361883417;1752840520361925439;localhost;72;1
$1;1752840520361953845;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520362075541;1752840520362117070;localhost;73;1
$1;1752840520361976283;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520362262767;1752840520362304385;localhost;74;1
$1;1752840520362247383;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520362471830;1752840520362523599;localhost;75;1
$1;1752840520362424878;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520362673934;1752840520362718377;localhost;76;1
$1;1752840520362626089;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520362875095;1752840520362919312;localhost;77;1
$1;1752840520362956013;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520363118652;1752840520363209504;localhost;78;1
$1;1752840520363948801;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520363819078;1752840520364046209;localhost;79;1
$1;1752840520364065796;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520364332882;1752840520364398930;localhost;80;1
$1;1752840520364288671;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752840520364549956;1752840520364588082;localhost;81;1
