common-block,file,module,operation,direction
BdfFontFile,./apps/Pillow/src/PIL/BdfFontFile.py,PIL.BdfFontFile.BdfFontFile,s,WRITE
BdfFontFile,./apps/Pillow/src/PIL/BdfFontFile.py,PIL.BdfFontFile.BdfFontFile,props,WRITE
BdfFontFile,./apps/Pillow/src/PIL/BdfFontFile.py,PIL.BdfFontFile.BdfFontFile,comments,WRITE
BitStream,./apps/Pillow/src/PIL/MpegImagePlugin.py,PIL.MpegImagePlugin.BitStream,self.fp,WRITE
BitStream,./apps/Pillow/src/PIL/MpegImagePlugin.py,PIL.MpegImagePlugin.BitStream,self.bits,WRITE
BitStream,./apps/Pillow/src/PIL/MpegImagePlugin.py,PIL.MpegImagePlugin.BitStream,self.bitbuffer,WRITE
ImageQt,./apps/Pillow/src/PIL/ImageQt.py,PIL.ImageQt.ImageQt,im_data,WRITE
ImageQt,./apps/Pillow/src/PIL/ImageQt.py,PIL.ImageQt.ImageQt,self.__data,WRITE
PcfFontFile,./apps/Pillow/src/PIL/PcfFontFile.py,PIL.PcfFontFile.PcfFontFile,self.charset_encoding,WRITE
PcfFontFile,./apps/Pillow/src/PIL/PcfFontFile.py,PIL.PcfFontFile.PcfFontFile,magic,WRITE
PcfFontFile,./apps/Pillow/src/PIL/PcfFontFile.py,PIL.PcfFontFile.PcfFontFile,count,WRITE
PcfFontFile,./apps/Pillow/src/PIL/PcfFontFile.py,PIL.PcfFontFile.PcfFontFile,self.toc,WRITE
PcfFontFile,./apps/Pillow/src/PIL/PcfFontFile.py,PIL.PcfFontFile.PcfFontFile,self.fp,WRITE
PcfFontFile,./apps/Pillow/src/PIL/PcfFontFile.py,PIL.PcfFontFile.PcfFontFile,self.info,WRITE
PcfFontFile,./apps/Pillow/src/PIL/PcfFontFile.py,PIL.PcfFontFile.PcfFontFile,metrics,WRITE
PcfFontFile,./apps/Pillow/src/PIL/PcfFontFile.py,PIL.PcfFontFile.PcfFontFile,bitmaps,WRITE
PcfFontFile,./apps/Pillow/src/PIL/PcfFontFile.py,PIL.PcfFontFile.PcfFontFile,encoding,WRITE
BoxReader,./apps/Pillow/src/PIL/Jpeg2KImagePlugin.py,PIL.Jpeg2KImagePlugin.BoxReader,self.fp,WRITE
BoxReader,./apps/Pillow/src/PIL/Jpeg2KImagePlugin.py,PIL.Jpeg2KImagePlugin.BoxReader,self.has_length,WRITE
BoxReader,./apps/Pillow/src/PIL/Jpeg2KImagePlugin.py,PIL.Jpeg2KImagePlugin.BoxReader,self.length,WRITE
BoxReader,./apps/Pillow/src/PIL/Jpeg2KImagePlugin.py,PIL.Jpeg2KImagePlugin.BoxReader,self.remaining_in_box,WRITE
XrefTable,./apps/Pillow/src/PIL/PdfParser.py,PIL.PdfParser.XrefTable,self.existing_entries,WRITE
XrefTable,./apps/Pillow/src/PIL/PdfParser.py,PIL.PdfParser.XrefTable,self.new_entries,WRITE
XrefTable,./apps/Pillow/src/PIL/PdfParser.py,PIL.PdfParser.XrefTable,self.deleted_entries,WRITE
XrefTable,./apps/Pillow/src/PIL/PdfParser.py,PIL.PdfParser.XrefTable,self.reading_finished,WRITE
PdfBinary,./apps/Pillow/src/PIL/PdfParser.py,PIL.PdfParser.PdfBinary,self.data,WRITE
PdfStream,./apps/Pillow/src/PIL/PdfParser.py,PIL.PdfParser.PdfStream,self.dictionary,WRITE
PdfStream,./apps/Pillow/src/PIL/PdfParser.py,PIL.PdfParser.PdfStream,self.buf,WRITE
PdfParser,./apps/Pillow/src/PIL/PdfParser.py,PIL.PdfParser.PdfParser,self.filename,WRITE
PdfParser,./apps/Pillow/src/PIL/PdfParser.py,PIL.PdfParser.PdfParser,self.buf,WRITE
PdfParser,./apps/Pillow/src/PIL/PdfParser.py,PIL.PdfParser.PdfParser,self.f,WRITE
PdfParser,./apps/Pillow/src/PIL/PdfParser.py,PIL.PdfParser.PdfParser,self.start_offset,WRITE
PdfParser,./apps/Pillow/src/PIL/PdfParser.py,PIL.PdfParser.PdfParser,self.should_close_buf,WRITE
PdfParser,./apps/Pillow/src/PIL/PdfParser.py,PIL.PdfParser.PdfParser,self.should_close_file,WRITE
