name,files,modules,variables
_src_pyf.py,/home/dl/.local/lib/python3.10/site-packages/numpy/f2py/_src_pyf.py,lif2py._src_pyf,template_name_re
_src_pyf.py,/home/dl/.local/lib/python3.10/site-packages/numpy/f2py/_src_pyf.py,lif2py._src_pyf,include_src_re
_src_pyf.py,/home/dl/.local/lib/python3.10/site-packages/numpy/f2py/_src_pyf.py,lif2py._src_pyf,_special_names
test_cython.py,/home/dl/.local/lib/python3.10/site-packages/numpy/_core/tests/test_cython.py,lib_core.test_cython,pytestmark
common_rules.py,/home/dl/.local/lib/python3.10/site-packages/numpy/f2py/common_rules.py,lif2py.common_rules,f2py_version
_linalg.py,/home/dl/.local/lib/python3.10/site-packages/numpy/linalg/_linalg.py,liblinalg._linalg,__all__
_linalg.py,/home/dl/.local/lib/python3.10/site-packages/numpy/linalg/_linalg.py,liblinalg._linalg,array_function_dispatch
_linalg.py,/home/dl/.local/lib/python3.10/site-packages/numpy/linalg/_linalg.py,liblinalg._linalg,fortran_int
_linalg.py,/home/dl/.local/lib/python3.10/site-packages/numpy/linalg/_linalg.py,liblinalg._linalg,_real_types_map
_linalg.py,/home/dl/.local/lib/python3.10/site-packages/numpy/linalg/_linalg.py,liblinalg._linalg,_complex_types_map
_linalg.py,/home/dl/.local/lib/python3.10/site-packages/numpy/linalg/_linalg.py,liblinalg._linalg,tensordot.__doc__
_linalg.py,/home/dl/.local/lib/python3.10/site-packages/numpy/linalg/_linalg.py,liblinalg._linalg,matrix_transpose.__doc__
lib2def.py,/home/dl/.local/lib/python3.10/site-packages/numpy/distutils/lib2def.py,tedistutils.lib2def,__doc__
lib2def.py,/home/dl/.local/lib/python3.10/site-packages/numpy/distutils/lib2def.py,tedistutils.lib2def,__version__
lib2def.py,/home/dl/.local/lib/python3.10/site-packages/numpy/distutils/lib2def.py,tedistutils.lib2def,py_ver
lib2def.py,/home/dl/.local/lib/python3.10/site-packages/numpy/distutils/lib2def.py,tedistutils.lib2def,DEFAULT_NM
lib2def.py,/home/dl/.local/lib/python3.10/site-packages/numpy/distutils/lib2def.py,tedistutils.lib2def,DEF_HEADER
lib2def.py,/home/dl/.local/lib/python3.10/site-packages/numpy/distutils/lib2def.py,tedistutils.lib2def,FUNC_RE
lib2def.py,/home/dl/.local/lib/python3.10/site-packages/numpy/distutils/lib2def.py,tedistutils.lib2def,DATA_RE
test_fcompiler_intel.py,/home/dl/.local/lib/python3.10/site-packages/numpy/distutils/tests/test_fcompiler_intel.py,distutilstests.test_fcompiler_intel,intel_32bit_version_strings
