"module";"operation";"in-edges";"out-edges"
"lib_core.test_numeric_0_0.test_none_compares_elementwise.f";"test_none_compares_elementwise";"3";"0"
"lib_core.test_numerictypes_0_0.test_platform_dependent_aliases.f";"test_platform_dependent_aliases";"3";"0"
"lib_core.test_numeric_0_0.test_timedelta.f";"test_timedelta";"5";"0"
"libtests.test_regression_0_0.np.isclose.all.f";"all";"0";"2"
"randomtests.test_random_0_0.test_zipf.f";"test_zipf";"8";"0"
"numpy.matlib_0_0.np.random.zipf.f";"zipf";"0";"1"
"lib_core.test_argparse_0_0.call_thread_func.f";"call_thread_func";"7";"0"
"lib_core.test_ufunc_0_0.t.join.f";"join";"0";"4"
"lib_core.test_shape_base_0_0.test_r2array.f";"test_r2array";"2";"0"
"linalgtests.test_linalg_0_0.test_singular.f";"test_singular";"5";"0"
"tedistutils.system_info_0_0._calc_info_mkl.f";"_calc_info_mkl";"2";"0"
"lib_core.test_multiarray_0_0.test_string_align.f";"test_string_align";"3";"0"
"f2py_backends._meson_0_0.run_meson.f";"run_meson";"1";"0"
"numpy.polynomial.polyutils_0_0.self._run_subprocess_command.f";"_run_subprocess_command";"0";"1"
"lib_core.test_multiarray_0_0.test_empty_structured_array_comparison.f";"test_empty_structured_array_comparison";"2";"0"
"lib_core.test_array_coercion_0_0.test_nested_simple.f";"test_nested_simple";"5";"0"
"lif2py.f";"var2fixfortran";"3";"0"
"numpy.polynomial.hermite_0_0.hermvander3d.f";"hermvander3d";"1";"0"
"libtests.test_histograms_0_0.test_type.f";"test_type";"5";"0"
"lib_core.test_multiarray_0_0.test_array_copy_true.f";"test_array_copy_true";"2";"0"
"libtests.test_regression_0_0.CCompiler.__init__.f";"__init__";"0";"1"
"lib_core.test_einsum_0_0.test_combined_views_mapping.f";"test_combined_views_mapping";"4";"0"
"randomtests.test_generator_mt19937_0_0.test_uniform_zero_range.f";"test_uniform_zero_range";"3";"0"
"randomtests.test_randomstate_0_0.test_poisson_exceptions.f";"test_poisson_exceptions";"4";"0"
"numpy.polynomial.tests.test_printing_0_0.test_multichar_basis_func.f";"test_multichar_basis_func";"3";"0"
"omlib._polynomial_impl_0_0.poly.HermiteE.f";"HermiteE";"0";"3"
"randomtests.test_generator_mt19937_regressions_0_0.test_gamma_0.f";"test_gamma_0";"3";"0"
"libtests.test_io_0_0.test_header_footer.f";"test_header_footer";"7";"0"
"numpy.polynomial.tests.test_hermite_e_0_0.test_hermefromroots.f";"test_hermefromroots";"10";"0"
"omlib._nanfunctions_impl_0_0.isfileobj.f";"isfileobj";"1";"0"
"lib_core.numerictypes_0_0.issubclass_.f";"issubclass_";"2";"1"
"lib_core.test_records_0_0.test_nonwriteable_setfield.f";"test_nonwriteable_setfield";"3";"0"
"numpy.polynomial.tests.test_hermite_e_0_0.r.setfield.f";"setfield";"0";"1"
"f2pytests.test_symbolic_0_0.test_polynomial_atoms.f";"test_polynomial_atoms";"9";"0"
"numpy.polynomial.legendre_0_0.y.f";"y";"0";"1"
"numpy.polynomial.tests.test_hermite_e_0_0.f";"customize_cmd";"0";"1"
"lib_core.test_overrides_0_0.test_wrong_arguments.f";"test_wrong_arguments";"3";"0"
"numpy.polynomial.tests.test_hermite_e_0_0.a.__array_function__.f";"__array_function__";"0";"1"
"f2pytests.test_regression_0_0.test_gh25344.f";"test_gh25344";"2";"0"
"numpy.polynomial.tests.test_chebyshev_0_0.test_chebvander2d.f";"test_chebvander2d";"6";"0"
"randomtests.test_smoke_0_0.test_bytes.f";"test_bytes";"3";"0"
"numpy.polynomial.tests.test_hermite_e_0_0.self.rg.bytes.f";"bytes";"0";"1"
"lib_core.test_multiarray_0_0.test_matmul_empty.f";"test_matmul_empty";"4";"0"
"lib_core.test_umath_0_0.assert_arctan2_ispinf.f";"assert_arctan2_ispinf";"3";"0"
"omlib._npyio_impl_0_0.loadtxt.f";"loadtxt";"7";"0"
"libtests.test_regression_0_0.test_mem_vectorise.f";"test_mem_vectorise";"3";"0"
"lib_core.test_ufunc_0_0.vt.f";"vt";"0";"1"
"lib_core.test_multiarray_0_0.test_put.f";"test_put";"10";"0"
"omma.core_0_0.a.put.f";"put";"0";"2"
"numpy.polynomial.tests.test_hermite_e_0_0.self.distutils_vars.get.f";"get";"0";"1"
"omtests.test_core_0_0.test_identity.f";"test_identity";"5";"0"
"lib_core.test_array_coercion_0_0.test_array_of_different_depths.f";"test_array_of_different_depths";"4";"0"
"libtests.test_recfunctions_0_0.test_get_names_flat.f";"test_get_names_flat";"3";"0"
"omlib._function_base_impl_0_0.bartlett.f";"bartlett";"7";"1"
"lib_core._internal_0_0.__call__.f";"__call__";"1";"0"
"numpy.polynomial.tests.test_hermite_e_0_0.self._cls.f";"_cls";"0";"1"
"lib_core.test_regression_0_0.__len__.f";"__len__";"2";"0"
"matrixlibtests.test_interaction_0_0.test_average_matrix.f";"test_average_matrix";"7";"0"
"omlib._histograms_impl_0_0.np.histogramdd.f";"histogramdd";"0";"4"
"lib_core.test_umath_0_0.test_precision.f";"test_precision";"12";"0"
"omfft._pocketfft_0_0.rfftn.f";"rfftn";"7";"0"
"libtests.test__datasource_0_0.setup_method.f";"setup_method";"5";"0"
"tedistutils.misc_util_0_0.red_text.f";"red_text";"1";"0"
"omma.core_0_0.choicelist.append.f";"append";"0";"1"
"omma.__init___0_0.test_A.f";"test_A";"1";"0"
"libtests.test_arrayterator_0_0.PytestTester.f";"PytestTester";"0";"13"
"omlib._twodim_base_impl_0_0.np.char.strip.f";"strip";"0";"1"
"lib_core.strings_0_0.str.startswith.f";"startswith";"0";"7"
"ommatrixlib.defmatrix_0_0.tolist.f";"tolist";"2";"0"
"numpy.polynomial.tests.test_hermite_e_0_0.self.__array__.f";"__array__";"0";"5"
"lib_core.test_multithreading_0_0.test_temp_elision_thread_safety.f";"test_temp_elision_thread_safety";"1";"0"
"omma.core_0_0.x.x.transpose.f";"transpose";"0";"3"
"omtests.test_core_0_0.test_masked_array.f";"test_masked_array";"3";"0"
"omma.core_0_0._core_transpose.reshape.f";"reshape";"0";"1"
"libtests.test_io_0_0.test_fancy_dtype_alt.f";"test_fancy_dtype_alt";"5";"0"
"lib_core.shape_base_0_0.block.lower.f";"lower";"0";"1"
"omlib._function_base_impl_0_0.ctx.copy.f";"copy";"0";"1"
"libtests.test_io_0_0.test_comments_is_none.f";"test_comments_is_none";"6";"0"
"lib_core.test_numeric_0_0.test_take.f";"test_take";"3";"0"
"omma.core_0_0.a._data.argmin.f";"argmin";"0";"2"
"numpy.polynomial.tests.test_hermite_e_0_0.f";"upper";"0";"1"
"lib_core.test_simd_module_0_0.test_nomix.f";"test_nomix";"4";"0"
"lib_core.test_defchararray_0_0.test_isdigit.f";"test_isdigit";"4";"0"
"libtests.test_regression_0_0.ainp.astype.f";"astype";"0";"4"
"lib_core.test_multiarray_0_0.test_private_get_ndarray_c_version.f";"test_private_get_ndarray_c_version";"2";"0"
"omma.core_0_0._get_ndarray_c_version.f";"_get_ndarray_c_version";"0";"1"
"randomtests.test_generator_mt19937_0_0.test_pickle_preserves_seed_sequence.f";"test_pickle_preserves_seed_sequence";"6";"0"
"numpy.matlib_0_0.np.random.PCG64DXSM.f";"PCG64DXSM";"0";"2"
"tedistutils.conv_template_0_0.mod.__name__.replace.f";"replace";"0";"1"
"lib_core.test_numeric_0_0.res_type.f";"res_type";"12";"0"
"f2pytests.test_array_from_pyobj_0_0.test_f_copy_in_from_23casttype.f";"test_f_copy_in_from_23casttype";"5";"0"
"numpy.polynomial.tests.test_hermite_e_0_0.mX.f";"cumprod";"0";"2"
"libtests.test_regression_0_0.parenrep.sub.f";"sub";"0";"1"
"libtests.test_regression_0_0.hypot.f";"hypot";"0";"2"
"lib_core.test_scalar_ctors_0_0.test_complex_errors.f";"test_complex_errors";"3";"0"
"omtests.test_core_0_0.test_asarray.f";"test_asarray";"2";"0"
"numpy.polynomial.tests.test_hermite_e_0_0.self.mt19937.vonmises.f";"vonmises";"0";"1"
"lib_core.test_conversion_utils_0_0.test_too_many_dims.f";"test_too_many_dims";"2";"0"
"randomtests.test_random_0_0.test_standard_t.f";"test_standard_t";"7";"0"
"lib_core.test__exceptions_0_0.test_str.f";"test_str";"3";"0"
"lib_core.test_overrides_0_0._ArrayMemoryError.f";"_ArrayMemoryError";"0";"3"
"omtests.test_core_0_0.test_view.f";"test_view";"10";"0"
"lib_core.test_indexing_0_0.setup_method.f";"setup_method";"9";"0"
"omma.core_0_0.skipped.append.f";"append";"0";"2"
"randomtests.test_generator_mt19937_0_0.test_exponential.f";"test_exponential";"6";"0"
"lib_core.test_ufunc_0_0.Write2.f";"Write2";"0";"1"
"lib_core.test_strings_0_0.test_isdecimal_raises.f";"test_isdecimal_raises";"3";"0"
"omlib._twodim_base_impl_0_0.np.strings.isdecimal.f";"isdecimal";"0";"2"
"lib_core.test_scalarmath_0_0.test_type_add.f";"test_type_add";"6";"0"
"linalgtests.test_linalg_0_0.test_matrix_norm.f";"test_matrix_norm";"6";"0"
"lib_core._methods_0_0._clip.f";"_clip";"6";"0"
"omma.core_0_0.um.maximum.f";"maximum";"0";"2"
"numpy.polynomial._polybase_0_0.__init__.f";"__init__";"5";"0"
"f2pytests.test_array_from_pyobj_0_0.test_c_in_from_23casttype.f";"test_c_in_from_23casttype";"5";"0"
"lib_core.test_multiarray_0_0.test_cast_to_string.f";"test_cast_to_string";"3";"0"
"lib_core.test_mem_overlap_0_0.check_unary_fuzz.f";"check_unary_fuzz";"15";"0"
"lib_core.test_casting_unittests_0_0.get_data.f";"get_data";"6";"0"
"omtests.test_core_0_0.test_creation_with_list_of_maskedarrays.f";"test_creation_with_list_of_maskedarrays";"4";"0"
"testingtests.test_utils_0_0.test_nan.f";"test_nan";"6";"0"
"omlib._twodim_base_impl_0_0.np.histogram2d.f";"histogram2d";"0";"1"
"lib_core.test_dtype_0_0.test_mutate.f";"test_mutate";"5";"0"
"omlib._shape_base_impl_0_0.os.path.splitdrive.f";"splitdrive";"0";"6"
"numpy.polynomial.tests.test_printing_0_0.test_legendre_repr.f";"test_legendre_repr";"3";"0"
"lib_core.test_overrides_0_0.test_ndarray_and_duck_array.f";"test_ndarray_and_duck_array";"5";"0"
"omlib._npyio_impl_0_0._get_implementing_args.f";"_get_implementing_args";"0";"6"
"libtests.test_regression_0_0.next_arr.astype.f";"astype";"0";"1"
"lib_core.test_multiarray_0_0.test_matmul_out.f";"test_matmul_out";"5";"0"
"lib_core.test_datetime_0_0.test_datetime_busday_offset.f";"test_datetime_busday_offset";"4";"0"
"numpy.polynomial.tests.test_hermite_e_0_0.np.busday_offset.f";"busday_offset";"0";"3"
"lib_core.f";"ravel";"0";"1"
"libtests.test_regression_0_0.sres.astype.f";"astype";"0";"2"
"lib_core.test_half_0_0.test_half_conversion_denormal_round_even.f";"test_half_conversion_denormal_round_even";"11";"0"
"lib_core.f";"view";"0";"1"
"ommatrixlib.defmatrix_0_0.max.f";"max";"2";"0"
"omma.core_0_0.N.ndarray.max._collapse.f";"_collapse";"0";"1"
"lib_core.test_array_coercion_0_0.__len__.f";"__len__";"7";"0"
"lib_core.test_ufunc_0_0.mylist.f";"mylist";"0";"1"
"lib_core.test_multiarray_0_0.test_exceptions.f";"test_exceptions";"3";"0"
"lib_core.test_cpu_features_0_0.cpu_have.f";"cpu_have";"3";"1"
"numpy.polynomial.tests.test_hermite_e_0_0.self.f";"get";"0";"1"
"lib_core.test_numeric_0_0.test_type_cast_03.f";"test_type_cast_03";"5";"0"
"ommatrixlib.defmatrix_0_0.__getitem__.f";"__getitem__";"4";"0"
"lib_core.test_numeric_0_0.test_clip_non_contig.f";"test_clip_non_contig";"5";"0"
"libtests.test_arraysetops_0_0.test_isin_errors.f";"test_isin_errors";"5";"0"
"omtests.test_numpy_version_0_0.test_version_module.f";"test_version_module";"3";"0"
"lib_core.strings_0_0.s.startswith.f";"startswith";"0";"3"
"libtests.test_regression_0_0.json.dumps.f";"dumps";"0";"1"
"randomtests.test_generator_mt19937_0_0.test_standard_gammma_float_out.f";"test_standard_gammma_float_out";"6";"0"
"libtests.test_regression_0_0.np._core.numeric.isclose.f";"isclose";"0";"1"
"lib_core.test_stringdtype_0_0.test_resize_method.f";"test_resize_method";"4";"0"
"lib_core.test_arrayprint_0_0.test_printoptions_asyncio_safe.f";"test_printoptions_asyncio_safe";"13";"0"
"libtests.test_regression_0_0.loop.close.f";"close";"0";"2"
"lib_core.test_scalarmath_0_0.test_modular_power.f";"test_modular_power";"4";"0"
"numpy.polynomial.legendre_0_0.pow.f";"pow";"0";"1"
"numpy.polynomial.tests.test_hermite_e_0_0.old_build_clib.f";"finalize_options";"0";"1"
"lib_core.test_ufunc_0_0.VariableSet.f";"VariableSet";"0";"2"
"lib_core.test_multiarray_0_0.test_take_mode_raise.f";"test_take_mode_raise";"5";"0"
"omma.core_0_0.round_.f";"round_";"4";"0"
"numpy.polynomial.tests.test_laguerre_0_0.test_lagvander2d.f";"test_lagvander2d";"6";"0"
"numpy.polynomial.laguerre_0_0.lag.lagvander2d.f";"lagvander2d";"0";"1"
"lif2py.auxfuncs_0_0.isreal.f";"isreal";"2";"0"
"numpy.polynomial.tests.test_hermite_e_0_0.self.string_with_modified_length.f";"string_with_modified_length";"0";"3"
"libtests.test_loadtxt_0_0.test_good_newline_in_iterator.f";"test_good_newline_in_iterator";"3";"0"
"numpy.polynomial.tests.test_hermite_e_0_0.diff.insert.f";"insert";"0";"1"
"lib_core.test_array_api_info_0_0.test_dtypes_invalid_device.f";"test_dtypes_invalid_device";"2";"0"
"randomtests.test_randomstate_0_0.test_normal.f";"test_normal";"7";"0"
"omma.mrecords_0_0.arr2.view.f";"view";"0";"3"
"numpy.polynomial._polybase_0_0.P.cast.f";"cast";"0";"1"
"_core_0_0.UnknownFileError.f";"UnknownFileError";"0";"2"
"lib_core.test_dlpack_0_0.test_copy.f";"test_copy";"3";"0"
"numpy.polynomial.tests.test_hermite_0_0.test_weight.f";"test_weight";"5";"0"
"numpy.polynomial.hermite_0_0.herm.hermweight.f";"hermweight";"0";"1"
"numpy._globals_0_0.main.f";"main";"2";"0"
"f2pytests.test_f2py2e_0_0.test_shortlatex.f";"test_shortlatex";"8";"0"
"lib_core.test_strings_0_0.test_string_comparisons_empty.f";"test_string_comparisons_empty";"7";"0"
"typingtests.test_typing_0_0.test_isfile.f";"test_isfile";"4";"0"
"omfft.helper_0_0.__getattr__.f";"__getattr__";"3";"0"
"numpy.polynomial.tests.test_hermite_e_0_0.self.values.f";"values";"0";"4"
"lib_core.test_ufunc_0_0.test_signature9.f";"test_signature9";"2";"0"
"libtests.test_arrayterator_0_0.umt.test_signature.f";"test_signature";"0";"15"
"omlib._stride_tricks_impl_0_0._broadcast_to.f";"_broadcast_to";"7";"0"
"randomtests.test_smoke_0_0.np.dtype.type.f";"type";"0";"4"
"_pyinstallertests.__init___0_0.test_pyinstaller.f";"test_pyinstaller";"1";"0"
"randomtests.test_generator_mt19937_0_0.test_permutation_custom_axis.f";"test_permutation_custom_axis";"7";"0"
"matrixlibtests.test_defmatrix_0_0.test_scalar_indexing.f";"test_scalar_indexing";"3";"0"
"tedistutils.ccompiler_0_0.CCompiler_get_version.f";"CCompiler_get_version";"2";"0"
"numpy.polynomial.tests.test_hermite_e_0_0.self.f";"find_executables";"0";"2"
"numpy.polynomial._polybase_0_0.sbroadcast.f";"filled";"0";"1"
"tedistutils.ccompiler_opt_0_0.generate_dispatch_header.f";"generate_dispatch_header";"13";"0"
"numpy.polynomial.tests.test_hermite_e_0_0.self.cpu_baseline_names.f";"cpu_baseline_names";"0";"2"
"lib_core.test_overrides_0_0.test_ndarray_subclass_and_duck_array.f";"test_ndarray_subclass_and_duck_array";"5";"0"
"randomtests.test_smoke_0_0.mu.dtype.f";"dtype";"0";"4"
"numpy.polynomial.tests.test_legendre_0_0.test_legone.f";"test_legone";"1";"0"
"lib_core.defchararray_0_0.not_equal.f";"not_equal";"2";"0"
"libtests.test_histograms_0_0.test_novariance.f";"test_novariance";"6";"0"
"numpy.polynomial.tests.test_polynomial_0_0.test_copy.f";"test_copy";"3";"0"
"lib_core.test_overrides_0_0.test_method.f";"test_method";"9";"0"
"numpy.polynomial.tests.test_hermite_e_0_0.array.__array_function__.f";"__array_function__";"0";"2"
"lib_core.getlimits_0_0.smallest_subnormal.f";"smallest_subnormal";"4";"0"
"omlib._user_array_impl_0_0.__isub__.f";"__isub__";"1";"0"
"omtests.test_warnings_0_0.test_warning_calls.f";"test_warning_calls";"8";"0"
"omlib._datasource_0_0.tokenize.open.f";"open";"0";"1"
"libtests.test_regression_0_0.np.stack.f";"stack";"0";"11"
"lib_core.test_umath_0_0.test_log_precision_float64.f";"test_log_precision_float64";"3";"0"
"libtests.test_loadtxt_0_0.c.read.f";"read";"0";"2"
"omma.core_0_0.np.ma.is_masked.f";"is_masked";"0";"3"
"omlib._npyio_impl_0_0.__getattribute__.f";"__getattribute__";"2";"0"
"omlib._npyio_impl_0_0.object.__getattribute__.f";"__getattribute__";"0";"6"
"omma.core_0_0.arr1.take.f";"take";"0";"1"
"numpy.matlib_0_0.random.random_sample.f";"random_sample";"0";"1"
"lib_core.test_records_0_0.test_recarray_stringtypes.f";"test_recarray_stringtypes";"3";"0"
"tedistutils.cpuinfo_0_0._is_IP20.f";"_is_IP20";"1";"0"
"numpy.polynomial.polynomial_0_0.poly.polyadd.f";"polyadd";"0";"2"
"libtests.test_regression_0_0.np.tan.f";"tan";"0";"3"
"lib_core.test_shape_base_0_0.test_no_lists.f";"test_no_lists";"4";"0"
"omlib._function_base_impl_0_0.a0.copy.f";"copy";"0";"2"
"_core_0_0.i4.conj.f";"conj";"0";"1"
"omma.timer_comparison_0_0.test_5.f";"test_5";"6";"0"
"randomtests.test_random_0_0.test_choice_uniform_replace.f";"test_choice_uniform_replace";"4";"0"
"lib_core._ufunc_config_0_0.seterr.f";"seterr";"5";"0"
"numpy.polynomial.tests.test_laguerre_0_0.test_lagpow.f";"test_lagpow";"10";"0"
"lib_core.test_numeric_0_0.test_ptp.f";"test_ptp";"2";"0"
"omma.core_0_0.paths.append.f";"append";"0";"2"
"libtests.test_packbits_0_0.test_count.f";"test_count";"5";"0"
"libtests.test_regression_0_0.cxx_compiler.compile.f";"compile";"0";"2"
"lib_core.test_multiarray_0_0.test_0d_array_shape.f";"test_0d_array_shape";"2";"0"
"randomtests.test_randomstate_0_0.test_gumbel_0.f";"test_gumbel_0";"3";"0"
"f2pytests.test_size_0_0.test_flatten.f";"test_flatten";"2";"0"
"numpy.polynomial.tests.test_hermite_e_0_0.self.module.f";"flatten";"0";"1"
"omma.core_0_0.h2.append.f";"append";"0";"1"
"lib_core.test_scalarmath_0_0.test_integers_to_negative_integer_power.f";"test_integers_to_negative_integer_power";"6";"0"
"omma.core_0_0.i4.max.f";"max";"0";"1"
"libtests.test_regression_0_0.as_apply.f";"as_apply";"0";"9"
"distutilstests.test_ccompiler_opt_0_0.cc_name.f";"cc_name";"1";"1"
"libtests.test_arraypad_0_0.test_misshaped_pad_width_2.f";"test_misshaped_pad_width_2";"6";"0"
"testingtests.test_utils_0_0.test_complex64_pass.f";"test_complex64_pass";"3";"0"
"libtests.test_regression_0_0.template.substitute.f";"substitute";"0";"1"
"omma.core_0_0.np.diag.f";"diag";"0";"6"
"omma.core_0_0.ndarray.ravel.f";"ravel";"0";"2"
"randomtests.test_direct_0_0.test_seed.f";"test_seed";"2";"0"
"numpy.polynomial.tests.test_hermite_e_0_0.default_rng.f";"default_rng";"0";"2"
"omma.mrecords_0_0.tolist.f";"tolist";"5";"0"
"lib_core.test_ufunc_0_0.result.tolist.f";"tolist";"0";"3"
"lib_core.test_numeric_0_0.test_type_cast_07.f";"test_type_cast_07";"7";"0"
"lib_core.test_datetime_0_0.test_timedelta_nat_format.f";"test_timedelta_nat_format";"3";"0"
"numpy.polynomial.tests.test_hermite_e_0_0.self.cache_private.add.f";"add";"0";"1"
"libtests.test_io_0_0.test_unpack_structured.f";"test_unpack_structured";"8";"0"
"lib_core.test_regression_0_0.test_fromstring_crash.f";"test_fromstring_crash";"2";"0"
"lif2py.auxfuncs_0_0.containsmodule.f";"containsmodule";"3";"1"
"omlib._twodim_base_impl_0_0._tri_with_like.f";"_tri_with_like";"0";"3"
"lib_core.test_stringdtype_0_0.test_comparisons.f";"test_comparisons";"5";"0"
"omma.core_0_0.np.char.compare_chararrays.f";"compare_chararrays";"0";"2"
"lib_core.test_errstate_0_0.decorated.f";"decorated";"13";"0"
"lif2py.diagnose_0_0.asyncio.run.f";"run";"0";"3"
"lib_core.shape_base_0_0.unstack.f";"unstack";"5";"0"
"libtests.test_index_tricks_0_0.test_error_small_input.f";"test_error_small_input";"3";"0"
"numpy.polynomial.tests.test_hermite_e_0_0.self._wrap_method.f";"_wrap_method";"0";"2"
"distutilstests.test_misc_util_0_0.test_build_import.f";"test_build_import";"1";"0"
"omtests.test_core_0_0.method.f";"method";"3";"1"
"omlib._arraysetops_impl_0_0.unique_inverse.f";"unique_inverse";"3";"0"
"lib_core.test_ufunc_0_0.UniqueInverseResult.f";"UniqueInverseResult";"0";"1"
"lib_core.test_longdouble_0_0.test_fromfile_bogus.f";"test_fromfile_bogus";"7";"0"
"tedistutils.cpuinfo_0_0._is_PentiumM.f";"_is_PentiumM";"2";"0"
"libtests.test_regression_0_0.match_result.group.f";"group";"0";"1"
"f2pytests.test_return_character_0_0.check_function.f";"check_function";"3";"0"
"omlib._npyio_impl_0_0.get_docdir.f";"get_docdir";"0";"2"
"numpy.polynomial.hermite_e_0_0.hermeval.f";"hermeval";"7";"1"
"numpy.polynomial.tests.test_hermite_e_0_0.a.f";"flatten";"0";"3"
"omtests.test_old_ma_0_0.strseq.f";"strseq";"0";"3"
"libtests.test_function_base_0_0.test_closest_observation.f";"test_closest_observation";"2";"0"
"lib_core.test_protocols_0_0.__repr__.f";"__repr__";"6";"0"
"libtests.test_regression_0_0.Wrapper.f";"Wrapper";"0";"2"
"numpy.polynomial.tests.test_hermite_e_0_0.f";"seek";"0";"1"
"numpy.polynomial.tests.test_hermite_e_0_0.np.f";"float128";"0";"2"
"lib_core.test_numeric_0_0.test_clip_complex.f";"test_clip_complex";"5";"0"
"omma.core_0_0.a.min.f";"min";"0";"3"
"lib_core.test_scalarmath_0_0.test_modulus_basic.f";"test_modulus_basic";"6";"0"
"lib_core.test_scalarmath_0_0._signs.f";"_signs";"0";"2"
"omlib._user_array_impl_0_0.__ge__.f";"__ge__";"2";"0"
"libtests.test_arraysetops_0_0.test_setdiff1d_unique.f";"test_setdiff1d_unique";"3";"0"
"omlib.recfunctions_0_0._izip_fields.f";"_izip_fields";"5";"0"
"lib_core.test_ufunc_0_0.test_binary_PyUFunc.f";"test_binary_PyUFunc";"6";"0"
"lib_core.test_umath_complex_0_0.test_arena_no_reuse_after_short.f";"test_arena_no_reuse_after_short";"6";"0"
"numpy.polynomial.tests.test_hermite_e_0_0.np_comp_func.f";"np_comp_func";"0";"1"
"lib_core.test_multithreading_0_0.legacy_125.f";"legacy_125";"7";"1"
"lib_core.test_ufunc_0_0.task2.start.f";"start";"0";"2"
"randomtests.test_smoke_0_0.test_standard_normal.f";"test_standard_normal";"4";"0"
"lib_core.test_array_coercion_0_0.test_nested_arraylikes.f";"test_nested_arraylikes";"9";"0"
"lib_core.test_ufunc_0_0.arr.item.f";"item";"0";"6"
"omma.core_0_0.dt.f";"dt";"0";"8"
"omlib._npyio_impl_0_0.rules.keys.f";"keys";"0";"1"
"lib_core.test_regression_0_0.test_unicode_string_comparison.f";"test_unicode_string_comparison";"1";"0"
"py_utils.__init___0_0.wrapper.f";"wrapper";"10";"0"
"lib_core.arrayprint_0_0._extendLine.f";"_extendLine";"2";"2"
"numpy.polynomial.tests.test_hermite_e_0_0.leg.legtrim.f";"legtrim";"0";"2"
"tedistutils.f";"upgrade";"0";"4"
"omma.core_0_0.array.__array__.f";"__array__";"0";"1"
"testing_private.utils_0_0.record.f";"record";"1";"0"
"numpy.polynomial.tests.test_hermite_e_0_0.self._filter.f";"_filter";"0";"2"
"omlib._npyio_impl_0_0.curses.tigetstr.f";"tigetstr";"0";"1"
"lib_core.arrayprint_0_0.f";"format_float_scientific";"4";"0"
"libtests.test_histograms_0_0.do_precision.f";"do_precision";"2";"0"
"numpy.polynomial.tests.test_hermite_e_0_0.self.do_precision_lower_bound.f";"do_precision_lower_bound";"0";"1"
"omlib._iotools_0_0.autostrip.f";"autostrip";"2";"0"
"libtests.test_function_base_0_0.test_both.f";"test_both";"5";"0"
"lib_core.test_overrides_0_0.test_verify_matching_signatures.f";"test_verify_matching_signatures";"2";"0"
"randomtests.test_generator_mt19937_0_0.test_shuffle.f";"test_shuffle";"10";"0"
"lib_core.test_dtype_0_0.test_permutations_do_not_influence_result.f";"test_permutations_do_not_influence_result";"3";"0"
"libtests.test_regression_0_0.permutations.f";"permutations";"0";"4"
"distutilscommand.build_0_0.initialize_options.f";"initialize_options";"1";"0"
"libtests.test_regression_0_0.old_build.initialize_options.f";"initialize_options";"0";"1"
"distutilscommand.config_0_0.check_gcc_function_attribute.f";"check_gcc_function_attribute";"1";"0"
"numpy.polynomial.tests.test_hermite_e_0_0.check_gcc_function_attribute.f";"check_gcc_function_attribute";"0";"1"
"randomtests.test_random_0_0.test_int_negative_interval.f";"test_int_negative_interval";"3";"0"
"randomtests.test_generator_mt19937_0_0.test_two_arg_funcs.f";"test_two_arg_funcs";"3";"0"
"lib_core.test_scalar_ctors_0_0._do_test.f";"_do_test";"4";"0"
"omma.core_0_0.asarray.all.f";"all";"0";"1"
"numpy.polynomial.polyutils_0_0.get_masked_subclass.f";"get_masked_subclass";"0";"7"
"lib_core.test_ufunc_0_0.test_reduction_with_where.f";"test_reduction_with_where";"11";"0"
"distutilsfcompiler.__init___0_0.get_flags_ar.f";"get_flags_ar";"1";"0"
"libtests.test_regression_0_0.kwargs.update.f";"update";"0";"2"
"omlib._twodim_base_impl_0_0.i.rstrip.f";"rstrip";"0";"1"
"omtests.test_mrecords_0_0.test_fromarrays.f";"test_fromarrays";"6";"0"
"lib_core.test_multiarray_0_0.test_rejects_strings.f";"test_rejects_strings";"6";"0"
"numpy.polynomial.tests.test_laguerre_0_0.test_lagmul.f";"test_lagmul";"6";"0"
"lib_core.numerictypes_0_0.issubdtype.f";"issubdtype";"4";"0"
"numpy.polynomial.tests.test_symbol_0_0.test_deriv.f";"test_deriv";"2";"0"
"ffttests.test_pocketfft_0_0.zeros_like.f";"zeros_like";"7";"0"
"numpy.matlib_0_0.zeros_like.f";"zeros_like";"0";"4"
"numpy._array_api_info_0_0.default_dtypes.f";"default_dtypes";"2";"0"
"distutilsfcompiler.gnu_0_0.runtime_library_dir_option.f";"runtime_library_dir_option";"2";"0"
"lib_core.test_scalarmath_0_0.test_scalar_integer_operation_overflow.f";"test_scalar_integer_operation_overflow";"6";"0"
"lib_core.test_ufunc_0_0.st.f";"st";"0";"5"
"omma.core_0_0.arr.transpose.f";"transpose";"0";"1"
"omlib._shape_base_impl_0_0.re.split.f";"split";"0";"4"
"lib_core.test_stringdtype_0_0.test_ufunc_add_reduce.f";"test_ufunc_add_reduce";"5";"0"
"omma.extras_0_0.setxor1d.f";"setxor1d";"4";"6"
"numpy.polynomial.tests.test_hermite_e_0_0.aux.f";"filled";"0";"1"
"lib_core.test_stringdtype_0_0.test_cast_to_bool.f";"test_cast_to_bool";"6";"0"
"omtests.test_scripts_0_0.f";"find_f2py_commands";"4";"0"
"lib_core.strings_0_0.exe_dir.endswith.f";"endswith";"0";"1"
"distutilstests.test_ccompiler_opt_conf_0_0.test_feature.f";"test_feature";"9";"0"
"numpy.polynomial.tests.test_hermite_e_0_0.self.test_extra_checks.f";"test_extra_checks";"0";"1"
