common-block,file,module,operation,direction
test_backend_pgf.py,./apps/matplotlib/lib/matplotlib/tests/test_backend_pgf.py,matplotlib.tests.test_backend_pgf,result_dir,WRITE
test_mathtext.py,./apps/matplotlib/lib/matplotlib/tests/test_mathtext.py,matplotlib.tests.test_mathtext,pyparsing_version,WRITE
test_mathtext.py,./apps/matplotlib/lib/matplotlib/tests/test_mathtext.py,matplotlib.tests.test_mathtext,math_tests,WRITE
test_mathtext.py,./apps/matplotlib/lib/matplotlib/tests/test_mathtext.py,matplotlib.tests.test_mathtext,svgastext_math_tests,WRITE
test_mathtext.py,./apps/matplotlib/lib/matplotlib/tests/test_mathtext.py,matplotlib.tests.test_mathtext,lightweight_math_tests,WRITE
test_mathtext.py,./apps/matplotlib/lib/matplotlib/tests/test_mathtext.py,matplotlib.tests.test_mathtext,digits,WRITE
test_mathtext.py,./apps/matplotlib/lib/matplotlib/tests/test_mathtext.py,matplotlib.tests.test_mathtext,uppercase,WRITE
test_mathtext.py,./apps/matplotlib/lib/matplotlib/tests/test_mathtext.py,matplotlib.tests.test_mathtext,lowercase,WRITE
test_mathtext.py,./apps/matplotlib/lib/matplotlib/tests/test_mathtext.py,matplotlib.tests.test_mathtext,uppergreek,WRITE
test_mathtext.py,./apps/matplotlib/lib/matplotlib/tests/test_mathtext.py,matplotlib.tests.test_mathtext,lowergreek,WRITE
test_mathtext.py,./apps/matplotlib/lib/matplotlib/tests/test_mathtext.py,matplotlib.tests.test_mathtext,all,WRITE
test_mathtext.py,./apps/matplotlib/lib/matplotlib/tests/test_mathtext.py,matplotlib.tests.test_mathtext,font_test_specs,WRITE
test_mathtext.py,./apps/matplotlib/lib/matplotlib/tests/test_mathtext.py,matplotlib.tests.test_mathtext,font_tests,WRITE
tripcolor_demo.py,./apps/matplotlib/galleries/examples/images_contours_and_fields/tripcolor_demo.py,tripcolor_demo,n_angles,WRITE
tripcolor_demo.py,./apps/matplotlib/galleries/examples/images_contours_and_fields/tripcolor_demo.py,tripcolor_demo,n_radii,WRITE
tripcolor_demo.py,./apps/matplotlib/galleries/examples/images_contours_and_fields/tripcolor_demo.py,tripcolor_demo,min_radius,WRITE
tripcolor_demo.py,./apps/matplotlib/galleries/examples/images_contours_and_fields/tripcolor_demo.py,tripcolor_demo,radii,WRITE
tripcolor_demo.py,./apps/matplotlib/galleries/examples/images_contours_and_fields/tripcolor_demo.py,tripcolor_demo,angles,WRITE
tripcolor_demo.py,./apps/matplotlib/galleries/examples/images_contours_and_fields/tripcolor_demo.py,tripcolor_demo,angles,WRITE
tripcolor_demo.py,./apps/matplotlib/galleries/examples/images_contours_and_fields/tripcolor_demo.py,tripcolor_demo,angles.angles,WRITE
tripcolor_demo.py,./apps/matplotlib/galleries/examples/images_contours_and_fields/tripcolor_demo.py,tripcolor_demo,x,WRITE
tripcolor_demo.py,./apps/matplotlib/galleries/examples/images_contours_and_fields/tripcolor_demo.py,tripcolor_demo,y,WRITE
tripcolor_demo.py,./apps/matplotlib/galleries/examples/images_contours_and_fields/tripcolor_demo.py,tripcolor_demo,z,WRITE
tripcolor_demo.py,./apps/matplotlib/galleries/examples/images_contours_and_fields/tripcolor_demo.py,tripcolor_demo,triang,WRITE
tripcolor_demo.py,./apps/matplotlib/galleries/examples/images_contours_and_fields/tripcolor_demo.py,tripcolor_demo,fig1,WRITE
tripcolor_demo.py,./apps/matplotlib/galleries/examples/images_contours_and_fields/tripcolor_demo.py,tripcolor_demo,ax1,WRITE
tripcolor_demo.py,./apps/matplotlib/galleries/examples/images_contours_and_fields/tripcolor_demo.py,tripcolor_demo,tpc,WRITE
tripcolor_demo.py,./apps/matplotlib/galleries/examples/images_contours_and_fields/tripcolor_demo.py,tripcolor_demo,fig2,WRITE
tripcolor_demo.py,./apps/matplotlib/galleries/examples/images_contours_and_fields/tripcolor_demo.py,tripcolor_demo,ax2,WRITE
tripcolor_demo.py,./apps/matplotlib/galleries/examples/images_contours_and_fields/tripcolor_demo.py,tripcolor_demo,tpc,WRITE
tripcolor_demo.py,./apps/matplotlib/galleries/examples/images_contours_and_fields/tripcolor_demo.py,tripcolor_demo,xy,WRITE
tripcolor_demo.py,./apps/matplotlib/galleries/examples/images_contours_and_fields/tripcolor_demo.py,tripcolor_demo,x,WRITE
tripcolor_demo.py,./apps/matplotlib/galleries/examples/images_contours_and_fields/tripcolor_demo.py,tripcolor_demo,y,WRITE
tripcolor_demo.py,./apps/matplotlib/galleries/examples/images_contours_and_fields/tripcolor_demo.py,tripcolor_demo,triangles,WRITE
tripcolor_demo.py,./apps/matplotlib/galleries/examples/images_contours_and_fields/tripcolor_demo.py,tripcolor_demo,xmid,WRITE
tripcolor_demo.py,./apps/matplotlib/galleries/examples/images_contours_and_fields/tripcolor_demo.py,tripcolor_demo,ymid,WRITE
tripcolor_demo.py,./apps/matplotlib/galleries/examples/images_contours_and_fields/tripcolor_demo.py,tripcolor_demo,x0,WRITE
tripcolor_demo.py,./apps/matplotlib/galleries/examples/images_contours_and_fields/tripcolor_demo.py,tripcolor_demo,y0,WRITE
tripcolor_demo.py,./apps/matplotlib/galleries/examples/images_contours_and_fields/tripcolor_demo.py,tripcolor_demo,zfaces,WRITE
tripcolor_demo.py,./apps/matplotlib/galleries/examples/images_contours_and_fields/tripcolor_demo.py,tripcolor_demo,fig3,WRITE
tripcolor_demo.py,./apps/matplotlib/galleries/examples/images_contours_and_fields/tripcolor_demo.py,tripcolor_demo,ax3,WRITE
tripcolor_demo.py,./apps/matplotlib/galleries/examples/images_contours_and_fields/tripcolor_demo.py,tripcolor_demo,tpc,WRITE
test_text.py,./apps/matplotlib/lib/matplotlib/tests/test_text.py,matplotlib.tests.test_text,pyparsing_version,WRITE
parasite_axes.py,./apps/matplotlib/lib/mpl_toolkits/axes_grid1/parasite_axes.py,matplotlib.axes_grid1.parasite_axes,parasite_axes_class_factory,WRITE
parasite_axes.py,./apps/matplotlib/lib/mpl_toolkits/axes_grid1/parasite_axes.py,matplotlib.axes_grid1.parasite_axes,ParasiteAxes,WRITE
parasite_axes.py,./apps/matplotlib/lib/mpl_toolkits/axes_grid1/parasite_axes.py,matplotlib.axes_grid1.parasite_axes,host_axes_class_factory,WRITE
parasite_axes.py,./apps/matplotlib/lib/mpl_toolkits/axes_grid1/parasite_axes.py,matplotlib.axes_grid1.parasite_axes,host_subplot_class_factory,WRITE
