callerfilename,callermodule,caller,callee
./apps/matplotlib/lib/matplotlib/text.py,matplotlib.text,set_clip_on,super
./apps/matplotlib/lib/matplotlib/tests/test_colors.py,matplotlib.tests.test_colors,test_CenteredNorm,int
./apps/matplotlib/galleries/examples/misc/multiprocess_sgskip.py,multiprocess_sgskip,__call__,print
./apps/matplotlib/lib/matplotlib/tests/test_lines.py,matplotlib.tests.test_lines,test_lw_scaling,np.ones
./apps/matplotlib/lib/matplotlib/contour.py,matplotlib.contour,locate_label,np.ceil
./apps/matplotlib/lib/mpl_toolkits/mplot3d/axes3d.py,matplotlib.mplot3d.axes3d,draw,super
./apps/matplotlib/lib/matplotlib/backends/backend_pdf.py,matplotlib.backends.backend_pdf,_fill,enumerate
./apps/matplotlib/lib/matplotlib/tests/test_image.py,matplotlib.tests.test_image,test_exact_vmin,np.all
./apps/matplotlib/galleries/examples/images_contours_and_fields/plot_streamplot.py,plot_streamplot,func,time.time
./apps/matplotlib/lib/matplotlib/backends/backend_qt.py,matplotlib.backends.backend_qt,__init__,super
./apps/matplotlib/galleries/users_explain/axes/axes_scales.py,axes_scales,forward,np.tan
./apps/matplotlib/lib/matplotlib/tests/test_ticker.py,matplotlib.tests.test_ticker,assert_almost_equal,np.log
./apps/matplotlib/galleries/examples/ticks/centered_ticklabels.py,centered_ticklabels,fmt_two_digits,r.r.r.r.item
./apps/matplotlib/lib/matplotlib/testing/_markers.py,matplotlib.testing._markers,_checkdep_usetex,shutil.which
./apps/matplotlib/lib/matplotlib/tests/test_axes.py,matplotlib.tests.test_axes,invert,enumerate
./apps/matplotlib/lib/matplotlib/tests/test_agg.py,matplotlib.tests.test_agg,smooth2d,int
./apps/matplotlib/lib/matplotlib/tests/test_dates.py,matplotlib.tests.test_dates,__add__,super
./apps/matplotlib/lib/matplotlib/dviread.py,matplotlib.dviread,_parse_and_cache_line,PsFont
./apps/matplotlib/galleries/examples/user_interfaces/embedding_in_wx4_sgskip.py,embedding_in_wx4_sgskip,__init__,super
./apps/matplotlib/lib/matplotlib/tests/test_cycles.py,matplotlib.tests.test_cycles,test_valid_input_forms,iter
./apps/matplotlib/lib/matplotlib/contour.py,matplotlib.contour,_split_path_and_get_label_rotation,np.concatenate
./apps/matplotlib/lib/matplotlib/tests/test_axes.py,matplotlib.tests.test_axes,test_specgram_fs_none,np.ones
./apps/matplotlib/lib/matplotlib/sankey.py,matplotlib.sankey,add,enumerate
./apps/matplotlib/tools/stubtest.py,matplotlib.tests.stubtest,visit_ClassDef,os.unlink
