name,files,modules,variables
BitStream,./apps/Pillow/src/PIL/MpegImagePlugin.py,PIL.MpegImagePlugin.BitStream,self.bitbuffer
ImageQt,./apps/Pillow/src/PIL/ImageQt.py,PIL.ImageQt.ImageQt,im_data
ImageQt,./apps/Pillow/src/PIL/ImageQt.py,PIL.ImageQt.ImageQt,self.__data
PcfFontFile,./apps/Pillow/src/PIL/PcfFontFile.py,PIL.PcfFontFile.PcfFontFile,self.charset_encoding
PcfFontFile,./apps/Pillow/src/PIL/PcfFontFile.py,PIL.PcfFontFile.PcfFontFile,magic
PcfFontFile,./apps/Pillow/src/PIL/PcfFontFile.py,PIL.PcfFontFile.PcfFontFile,count
PcfFontFile,./apps/Pillow/src/PIL/PcfFontFile.py,PIL.PcfFontFile.PcfFontFile,self.toc
PcfFontFile,./apps/Pillow/src/PIL/PcfFontFile.py,PIL.PcfFontFile.PcfFontFile,self.fp
PcfFontFile,./apps/Pillow/src/PIL/PcfFontFile.py,PIL.PcfFontFile.PcfFontFile,self.info
PcfFontFile,./apps/Pillow/src/PIL/PcfFontFile.py,PIL.PcfFontFile.PcfFontFile,metrics
PcfFontFile,./apps/Pillow/src/PIL/PcfFontFile.py,PIL.PcfFontFile.PcfFontFile,bitmaps
PcfFontFile,./apps/Pillow/src/PIL/PcfFontFile.py,PIL.PcfFontFile.PcfFontFile,encoding
BoxReader,./apps/Pillow/src/PIL/Jpeg2KImagePlugin.py,PIL.Jpeg2KImagePlugin.BoxReader,self.fp
BoxReader,./apps/Pillow/src/PIL/Jpeg2KImagePlugin.py,PIL.Jpeg2KImagePlugin.BoxReader,self.has_length
BoxReader,./apps/Pillow/src/PIL/Jpeg2KImagePlugin.py,PIL.Jpeg2KImagePlugin.BoxReader,self.length
BoxReader,./apps/Pillow/src/PIL/Jpeg2KImagePlugin.py,PIL.Jpeg2KImagePlugin.BoxReader,self.remaining_in_box
XrefTable,./apps/Pillow/src/PIL/PdfParser.py,PIL.PdfParser.XrefTable,self.existing_entries
XrefTable,./apps/Pillow/src/PIL/PdfParser.py,PIL.PdfParser.XrefTable,self.new_entries
XrefTable,./apps/Pillow/src/PIL/PdfParser.py,PIL.PdfParser.XrefTable,self.deleted_entries
XrefTable,./apps/Pillow/src/PIL/PdfParser.py,PIL.PdfParser.XrefTable,self.reading_finished
PdfBinary,./apps/Pillow/src/PIL/PdfParser.py,PIL.PdfParser.PdfBinary,self.data
PdfStream,./apps/Pillow/src/PIL/PdfParser.py,PIL.PdfParser.PdfStream,self.dictionary
PdfStream,./apps/Pillow/src/PIL/PdfParser.py,PIL.PdfParser.PdfStream,self.buf
PdfParser,./apps/Pillow/src/PIL/PdfParser.py,PIL.PdfParser.PdfParser,self.filename
PdfParser,./apps/Pillow/src/PIL/PdfParser.py,PIL.PdfParser.PdfParser,self.buf
PdfParser,./apps/Pillow/src/PIL/PdfParser.py,PIL.PdfParser.PdfParser,self.f
PdfParser,./apps/Pillow/src/PIL/PdfParser.py,PIL.PdfParser.PdfParser,self.start_offset
PdfParser,./apps/Pillow/src/PIL/PdfParser.py,PIL.PdfParser.PdfParser,self.should_close_buf
PdfParser,./apps/Pillow/src/PIL/PdfParser.py,PIL.PdfParser.PdfParser,self.should_close_file
PdfParser,./apps/Pillow/src/PIL/PdfParser.py,PIL.PdfParser.PdfParser,self.cached_objects
PdfParser,./apps/Pillow/src/PIL/PdfParser.py,PIL.PdfParser.PdfParser,self.root_ref
PdfParser,./apps/Pillow/src/PIL/PdfParser.py,PIL.PdfParser.PdfParser,self.info_ref
PdfParser,./apps/Pillow/src/PIL/PdfParser.py,PIL.PdfParser.PdfParser,self.pages_ref
PdfParser,./apps/Pillow/src/PIL/PdfParser.py,PIL.PdfParser.PdfParser,self.last_xref_section_offset
PdfParser,./apps/Pillow/src/PIL/PdfParser.py,PIL.PdfParser.PdfParser,self.xref_table.reading_finished
HDC,./apps/Pillow/src/PIL/ImageWin.py,PIL.ImageWin.HDC,self.dc
HWND,./apps/Pillow/src/PIL/ImageWin.py,PIL.ImageWin.HWND,self.wnd
Dib,./apps/Pillow/src/PIL/ImageWin.py,PIL.ImageWin.Dib,self.image
Dib,./apps/Pillow/src/PIL/ImageWin.py,PIL.ImageWin.Dib,self.mode
Dib,./apps/Pillow/src/PIL/ImageWin.py,PIL.ImageWin.Dib,self.size
Window,./apps/Pillow/src/PIL/ImageWin.py,PIL.ImageWin.Window,self.hwnd
ImageWindow,./apps/Pillow/src/PIL/ImageWin.py,PIL.ImageWin.ImageWindow,self.image
ImageWindow,./apps/Pillow/src/PIL/ImageWin.py,PIL.ImageWin.ImageWindow,width
ImageWindow,./apps/Pillow/src/PIL/ImageWin.py,PIL.ImageWin.ImageWindow,height
GimpGradientFile,./apps/Pillow/src/PIL/GimpGradientFile.py,PIL.GimpGradientFile.GimpGradientFile,line
GimpGradientFile,./apps/Pillow/src/PIL/GimpGradientFile.py,PIL.GimpGradientFile.GimpGradientFile,count
GimpGradientFile,./apps/Pillow/src/PIL/GimpGradientFile.py,PIL.GimpGradientFile.GimpGradientFile,self.gradient
Kernel,./apps/Pillow/src/PIL/ImageFilter.py,PIL.ImageFilter.Kernel,self.filterargs
RankFilter,./apps/Pillow/src/PIL/ImageFilter.py,PIL.ImageFilter.RankFilter,self.size
RankFilter,./apps/Pillow/src/PIL/ImageFilter.py,PIL.ImageFilter.RankFilter,self.rank
MedianFilter,./apps/Pillow/src/PIL/ImageFilter.py,PIL.ImageFilter.MedianFilter,self.size
MedianFilter,./apps/Pillow/src/PIL/ImageFilter.py,PIL.ImageFilter.MedianFilter,self.rank
MinFilter,./apps/Pillow/src/PIL/ImageFilter.py,PIL.ImageFilter.MinFilter,self.size
MinFilter,./apps/Pillow/src/PIL/ImageFilter.py,PIL.ImageFilter.MinFilter,self.rank
MaxFilter,./apps/Pillow/src/PIL/ImageFilter.py,PIL.ImageFilter.MaxFilter,self.size
MaxFilter,./apps/Pillow/src/PIL/ImageFilter.py,PIL.ImageFilter.MaxFilter,self.rank
ModeFilter,./apps/Pillow/src/PIL/ImageFilter.py,PIL.ImageFilter.ModeFilter,self.size
GaussianBlur,./apps/Pillow/src/PIL/ImageFilter.py,PIL.ImageFilter.GaussianBlur,self.radius
BoxBlur,./apps/Pillow/src/PIL/ImageFilter.py,PIL.ImageFilter.BoxBlur,xy
BoxBlur,./apps/Pillow/src/PIL/ImageFilter.py,PIL.ImageFilter.BoxBlur,self.radius
UnsharpMask,./apps/Pillow/src/PIL/ImageFilter.py,PIL.ImageFilter.UnsharpMask,self.radius
UnsharpMask,./apps/Pillow/src/PIL/ImageFilter.py,PIL.ImageFilter.UnsharpMask,self.percent
UnsharpMask,./apps/Pillow/src/PIL/ImageFilter.py,PIL.ImageFilter.UnsharpMask,self.threshold
Color3DLUT,./apps/Pillow/src/PIL/ImageFilter.py,PIL.ImageFilter.Color3DLUT,self.size
Color3DLUT,./apps/Pillow/src/PIL/ImageFilter.py,PIL.ImageFilter.Color3DLUT,size
Color3DLUT,./apps/Pillow/src/PIL/ImageFilter.py,PIL.ImageFilter.Color3DLUT,self.channels
Color3DLUT,./apps/Pillow/src/PIL/ImageFilter.py,PIL.ImageFilter.Color3DLUT,self.mode
Color3DLUT,./apps/Pillow/src/PIL/ImageFilter.py,PIL.ImageFilter.Color3DLUT,copy_table
Color3DLUT,./apps/Pillow/src/PIL/ImageFilter.py,PIL.ImageFilter.Color3DLUT,items
Color3DLUT,./apps/Pillow/src/PIL/ImageFilter.py,PIL.ImageFilter.Color3DLUT,wrong_size
Color3DLUT,./apps/Pillow/src/PIL/ImageFilter.py,PIL.ImageFilter.Color3DLUT,numpy
Color3DLUT,./apps/Pillow/src/PIL/ImageFilter.py,PIL.ImageFilter.Color3DLUT,self.table
FontFile,./apps/Pillow/src/PIL/FontFile.py,PIL.FontFile.FontFile,self.info
FontFile,./apps/Pillow/src/PIL/FontFile.py,PIL.FontFile.FontFile,self.glyph
Color,./apps/Pillow/src/PIL/ImageEnhance.py,PIL.ImageEnhance.Color,self.image
Color,./apps/Pillow/src/PIL/ImageEnhance.py,PIL.ImageEnhance.Color,self.intermediate_mode
Color,./apps/Pillow/src/PIL/ImageEnhance.py,PIL.ImageEnhance.Color,self.degenerate
Contrast,./apps/Pillow/src/PIL/ImageEnhance.py,PIL.ImageEnhance.Contrast,self.image
Contrast,./apps/Pillow/src/PIL/ImageEnhance.py,PIL.ImageEnhance.Contrast,mean
Contrast,./apps/Pillow/src/PIL/ImageEnhance.py,PIL.ImageEnhance.Contrast,self.degenerate
Brightness,./apps/Pillow/src/PIL/ImageEnhance.py,PIL.ImageEnhance.Brightness,self.image
Brightness,./apps/Pillow/src/PIL/ImageEnhance.py,PIL.ImageEnhance.Brightness,self.degenerate
Sharpness,./apps/Pillow/src/PIL/ImageEnhance.py,PIL.ImageEnhance.Sharpness,self.image
Sharpness,./apps/Pillow/src/PIL/ImageEnhance.py,PIL.ImageEnhance.Sharpness,self.degenerate
TarIO,./apps/Pillow/src/PIL/TarIO.py,PIL.TarIO.TarIO,self.fh
IFDRational,./apps/Pillow/src/PIL/TiffImagePlugin.py,PIL.TiffImagePlugin.IFDRational,self._val
ImageFileDirectory_v2,./apps/Pillow/src/PIL/TiffImagePlugin.py,PIL.TiffImagePlugin.ImageFileDirectory_v2,self._prefix
ImageFileDirectory_v2,./apps/Pillow/src/PIL/TiffImagePlugin.py,PIL.TiffImagePlugin.ImageFileDirectory_v2,self._bigtiff
ImageFileDirectory_v2,./apps/Pillow/src/PIL/TiffImagePlugin.py,PIL.TiffImagePlugin.ImageFileDirectory_v2,self.group
ImageFileDirectory_v2,./apps/Pillow/src/PIL/TiffImagePlugin.py,PIL.TiffImagePlugin.ImageFileDirectory_v2,self.tagtype
ImageFileDirectory_v2,./apps/Pillow/src/PIL/TiffImagePlugin.py,PIL.TiffImagePlugin.ImageFileDirectory_v2,self.next
ImageFileDirectory_v2,./apps/Pillow/src/PIL/TiffImagePlugin.py,PIL.TiffImagePlugin.ImageFileDirectory_v2,self._legacy_api
ImageFileDirectory_v1,./apps/Pillow/src/PIL/TiffImagePlugin.py,PIL.TiffImagePlugin.ImageFileDirectory_v1,self._legacy_api
TiffImageFile,./apps/Pillow/src/PIL/TiffImagePlugin.py,PIL.TiffImagePlugin.TiffImageFile,self.tag_v2
TiffImageFile,./apps/Pillow/src/PIL/TiffImagePlugin.py,PIL.TiffImagePlugin.TiffImageFile,self.tag
AppendingTiffWriter,./apps/Pillow/src/PIL/TiffImagePlugin.py,PIL.TiffImagePlugin.AppendingTiffWriter,self.f
AppendingTiffWriter,./apps/Pillow/src/PIL/TiffImagePlugin.py,PIL.TiffImagePlugin.AppendingTiffWriter,self.beginning
ImagePalette,./apps/Pillow/src/PIL/ImagePalette.py,PIL.ImagePalette.ImagePalette,self.mode
ImagePalette,./apps/Pillow/src/PIL/ImagePalette.py,PIL.ImagePalette.ImagePalette,self.rawmode
ImagePalette,./apps/Pillow/src/PIL/ImagePalette.py,PIL.ImagePalette.ImagePalette,self.palette
ImagePalette,./apps/Pillow/src/PIL/ImagePalette.py,PIL.ImagePalette.ImagePalette,self.dirty
ChunkStream,./apps/Pillow/src/PIL/PngImagePlugin.py,PIL.PngImagePlugin.ChunkStream,self.fp
ChunkStream,./apps/Pillow/src/PIL/PngImagePlugin.py,PIL.PngImagePlugin.ChunkStream,self.queue
PngInfo,./apps/Pillow/src/PIL/PngImagePlugin.py,PIL.PngImagePlugin.PngInfo,self.chunks
PngStream,./apps/Pillow/src/PIL/PngImagePlugin.py,PIL.PngImagePlugin.PngStream,self.im_info
PngStream,./apps/Pillow/src/PIL/PngImagePlugin.py,PIL.PngImagePlugin.PngStream,self.im_text
PngStream,./apps/Pillow/src/PIL/PngImagePlugin.py,PIL.PngImagePlugin.PngStream,self.im_size
PngStream,./apps/Pillow/src/PIL/PngImagePlugin.py,PIL.PngImagePlugin.PngStream,self.im_mode
PngStream,./apps/Pillow/src/PIL/PngImagePlugin.py,PIL.PngImagePlugin.PngStream,self.im_tile
PngStream,./apps/Pillow/src/PIL/PngImagePlugin.py,PIL.PngImagePlugin.PngStream,self.im_palette
PngStream,./apps/Pillow/src/PIL/PngImagePlugin.py,PIL.PngImagePlugin.PngStream,self.im_custom_mimetype
PngStream,./apps/Pillow/src/PIL/PngImagePlugin.py,PIL.PngImagePlugin.PngStream,self.im_n_frames
PngStream,./apps/Pillow/src/PIL/PngImagePlugin.py,PIL.PngImagePlugin.PngStream,self._seq_num
PngStream,./apps/Pillow/src/PIL/PngImagePlugin.py,PIL.PngImagePlugin.PngStream,self.rewind_state
