$0;1752828181280001349;2.0.2;KIEKER;ZORGLUB-42;1;false;0;NANOSECONDS;0
$1;1752828205236424258;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752828204331253493;1752828204331289075;localhost;32;1
$1;1752828205236439147;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752828204331339770;1752828204331369334;localhost;33;1
$1;1752828205236451979;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752828204331416329;1752828204331445167;localhost;34;1
$1;1752828205236464365;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752828204331493638;1752828204331521140;localhost;35;1
$1;1752828205236476421;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752828204331566478;1752828204331600634;localhost;36;1
$1;1752828205236488679;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752828204331659594;1752828204331689346;localhost;37;1
$1;1752828205236500728;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752828204331736221;1752828204331769464;localhost;38;1
$1;1752828205236512666;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752828204331815728;1752828204331846248;localhost;39;1
$1;1752828205236524957;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752828204331896275;1752828204331925046;localhost;40;1
$1;1752828205236539363;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752828204331971805;1752828204331999704;localhost;41;1
$1;1752828205236556193;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752828204332047344;1752828204332076267;localhost;42;1
$1;1752828205236571631;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752828204332122462;1752828204332150159;localhost;43;1
$1;1752828205236583935;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752828204332196519;1752828204332224961;localhost;44;1
$1;1752828205236596622;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752828204332417349;1752828204332497142;localhost;45;1
$1;1752828205236615533;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752828204332561216;1752828204332591871;localhost;46;1
$1;1752828205236628811;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752828204332717233;1752828204332746138;localhost;47;1
$1;1752828205236641214;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752828204332796972;1752828204332825099;localhost;48;1
$1;1752828205236655823;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752828204332870994;1752828204332898727;localhost;49;1
$1;1752828205236668100;private TagInfo PIL.TiffTags.TagInfo.__new__(int | None, String, int | None, int | None, dict[str, int] | None, TagInfo);<no-session-id>;1;1752828204332943609;1752828204332971270;localhost;50;1
