"source-path";"source-operation";"target-path";"target-operation";"calls"
"lib_core.test_nditer";"test_iter_writemasked_decref";"om_typing._nested_sequence";"np.count_nonzero";"1"
"distutilscommand.build_src";"build_extension_sources";"omma.core";"modules.append";"1"
"lib_core.test_umath";"test_cosh";"numpy.polynomial.tests.test_hermite_e";"pytest.mark.skipif";"2"
"lib_core.test_multiarray";"test_trace_subclass";"omma.core";"np.arange.reshape";"1"
"lib_core.test_strings";"test_mixed_string_comparison_ufuncs_fail";"libtests.test_regression";"pytest.raises";"2"
"lif2py.symbolic";"__rsub__";"lif2py.symbolic";"as_number";"1"
"lib_core.arrayprint";"str_format";"lif2py.auxfuncs";"str";"2"
"tedistutils.ccompiler";"CCompiler_cxx_compiler";"omma.mrecords";"copy";"1"
"lib_core.strings";"center";"randomtests.test_smoke";"np.issubdtype";"1"
"lib_core.test_dtype";"iter_struct_object_dtypes";"randomtests.test_smoke";"np.dtype";"4"
"lib_core.test_multiarray";"test_empty_files_text";"distutilstests.test_ccompiler_opt";"assert_";"1"
"lib_core.test_records";"test_pickle_1";"omlib._twodim_base_impl";"range";"1"
"testing_private.utils";"build_err_msg";"lib_core.test_ufunc";"enumerate";"1"
"randomtests.test_random";"check_function";"libtests.test_regression";"np.intp";"1"
"lib_core.test_casting_floatingpoint_errors";"values_and_dtypes";"numpy.polynomial.tests.test_hermite_e";"np.float64";"2"
"lib_core.test_records";"test_recarray_from_repr";"omma.core";"np.array";"1"
"libtests.test_twodim_base";"test_binparameter_combination";"omlib._twodim_base_impl";"histogram2d";"2"
"numpy.polynomial.tests.test_classes";"test_dimensions";"omlib._twodim_base_impl";"range";"1"
"lib_core.test_cython";"test_multiiter_fields";"omma.core";"checks.get_multiiter_size";"1"
"lib_core.test_umath";"test_float_remainder_errors";"numpy.polynomial.tests.test_hermite_e";"sys.platform.startswith";"1"
"testing_private.utils";"decorate_methods";"numpy.polynomial.tests.test_hermite_e";"funcname.startswith";"1"
"lib_core.test_multiarray";"test_partition_fp";"numpy.matlib";"np.random.RandomState";"1"
"randomtests.test_randomstate";"test_size";"omma.testutils";"assert_equal";"6"
"lib_core.test_numeric";"_generate_int_data";"numpy.matlib";"rand";"1"
"lib_core.records";"fromfile";"numpy.polynomial.tests.test_hermite_e";"fd.readinto";"1"
"lif2py.symbolic";"restore";"libtests.test_regression";"zip";"2"
"tedistutils.ccompiler";"single_compile";"numpy.polynomial.tests.test_hermite_e";"_processing_files.remove";"1"
"lif2py.symbolic";"repl";"numpy.polynomial.tests.test_hermite_e";"format";"1"
"numpy.polynomial.hermite_e";"hermeder";"numpy.matlib";"np.empty";"1"
"omlib._function_base_impl";"delete";"lib_core.records";"list";"1"
"lib_core.test_ufunc";"test_cross1d";"distutilstests.test_ccompiler_opt";"assert_";"1"
"omtests.test_old_ma";"test_testMinMax2";"omma.core";"maximum.reduce";"1"
"libtests.test_twodim_base";"test_basic";"omlib._twodim_base_impl";"range";"1"
"lib_core.test_records";"test_recarray_returntypes";"tedistutils.mingw32ccompiler";"type";"9"
"linalgtests.test_linalg";"test_upper_lower_arg";"libtests.test_regression";"np.arange";"2"
"lib_core.test_longdouble";"test_fromstring";"numpy.polynomial.tests.test_hermite_e";"np.fromstring";"1"
"numpy.polynomial.tests.test_printing";"use_ascii";"numpy.polynomial.tests.test_hermite_e";"pytest.fixture";"3"
"lib_core.test_function_base";"test_dtype";"libtests.test_regression";"linspace";"3"
"omtests.test_core";"test_concatenate_flexible";"numpy.matlib";"np.random.rand";"1"
"numpy.polynomial.hermite_e";"hermegauss";"omma.core";"np.abs.max";"1"
"libtests.test__datasource";"test_CachedHTTPFile";"libtests.test__datasource";"valid_httpurl";"1"
"omma.extras";"_median";"_core";"slice";"2"
"omlib._polynomial_impl";"__rsub__";"numpy.polynomial.polynomial";"polysub";"1"
"omlib._function_base_impl";"interp";"numpy.polynomial.tests.test_hermite_e";"interp_func";"1"
"libtests.test_nanfunctions";"test_keepdims";"numpy.polynomial.tests.test_hermite_e";"f";"4"
"lib_core.test_regression";"test_object_array_refcounting";"omma.core";"x.choose";"1"
"omma.testutils";"approx";"lib_core.fromnumeric";"d.ravel";"1"
"omlib._arraysetops_impl";"ediff1d";"tedistutils.from_template";"conv.conv.ravel";"1"
"randomtests.test_generator_mt19937";"test_noncentral_f";"libtests.test_regression";"np.all";"1"
"omlib._function_base_impl";"i0";"numpy.polynomial.tests.test_hermite_e";"array_function_dispatch";"1"
"tedistutils.system_info";"show_all";"numpy.polynomial.tests.test_hermite_e";"conf.get_info";"1"
"libtests.test_function_base";"test_right_open";"libtests.test_regression";"np.arange";"3"
"tedistutils.system_info";"get_atlas_version";"numpy.polynomial.tests.test_hermite_e";"cmd_config";"1"
"randomtests.test_random";"test_noncentral_f_small_df";"omma.core";"np.array";"1"
"lib_core.test_umath_complex";"f";"libtests.test_regression";"np.conj";"2"
"lib_core.arrayprint";"dtype_short_repr";"lif2py.auxfuncs";"str";"3"
"tedistutils.cpuinfo";"_is_r4650";"numpy.polynomial.tests.test_hermite_e";"self.__cputype";"1"
"lib_core.test_dtype";"check_pickling";"libtests.test_regression";"pickle.dumps";"1"
"lib_core.test_numeric";"test_out_scalar";"distutilstests.test_ccompiler_opt";"assert_";"3"
"randomtests.test_generator_mt19937_regressions";"test_beta_small_parameters";"distutilstests.test_ccompiler_opt";"assert_";"1"
"numpy.polynomial._polybase";"__format__";"numpy.polynomial.tests.test_hermite_e";"self.__str__";"1"
"tedistutils.system_info";"calc_libraries_info";"numpy.polynomial.tests.test_hermite_e";"self.get_runtime_lib_dirs";"2"
"lib_core.test_longdouble";"test_array_repr";"libtests.test_function_base";"ValueError";"1"
"libtests.test_io";"test_1D";"randomtests.test_extending";"np.loadtxt";"2"
"numpy.polynomial.tests.test_polynomial";"test_polyfromroots";"numpy.polynomial._polybase";"poly.polyfromroots";"2"
"lib_core.test_regression";"test_lexsort_buffer_length";"libtests.test_regression";"np.arange";"1"
"libtests.test_arraypad";"test_repeated_wrapping_multiple_origin";"omma.core";"np.array";"1"
"lib_core.test_nditer";"test_iter_best_order_c_index_1d";"lib_core.test_ufunc";"nditer";"2"
"omtests.test_core";"test_filled_with_nested_dtype";"omma.core";"np.array";"2"
"lib_core.test_numeric";"test_filled_like";"libtests.test_regression";"np.int64";"1"
"numpy.polynomial.tests.test_classes";"test_divmod";"numpy.matlib";"random";"3"
"numpy.polynomial.tests.test_symbol";"test_integ";"omma.testutils";"assert_equal";"1"
"lib_core.test_datetime";"test_datetime_like";"numpy.matlib";"np.ones_like";"2"
"lib_core.test_stringdtype";"test_bytes_casts";"libtests.test_regression";"pytest.raises";"1"
"lif2py.crackfortran";"get_parameters";"libtests.test_regression";"re.compile";"3"
"f2pytests.test_array_from_pyobj";"test_cache_hidden";"lif2py.auxfuncs";"str";"1"
"libtests.test_type_check";"test_scalar";"distutilstests.test_ccompiler_opt";"assert_";"2"
"lif2py.crackfortran";"get_parameters";"omlib._twodim_base_impl";"isstring";"1"
"libtests.test_function_base";"test_extended_axis";"numpy.matlib";"np.random.normal";"2"
"lib_core.test_cpu_features";"test_impossible_feature_enable";"numpy.polynomial.tests.test_hermite_e";"self._expect_error";"3"
"tedistutils.conv_template";"resolve_includes";"libtests.test_regression";"os.path.dirname";"1"
"lib_core.test_mem_overlap";"test_shares_memory_api";"libtests.test_regression";"np.shares_memory";"4"
"omtests.test_core";"test_reshape";"omma.core";"a.reshape";"4"
"lib_core.test_umath";"__ne__";"omma.testutils";"assert_equal";"1"
"lib_core.test_ufunc";"test_ufunc_at_inner_loops";"tedistutils.log";"warnings.catch_warnings";"2"
"lib_core.test_arrayprint";"test_bad_args";"distutilstests.test_ccompiler_opt";"assert_raises";"5"
"randomtests.test_smoke";"test_random";"_core";"len";"1"
"numpy.polynomial.tests.test_hermite_e";"test_hermex";"libtests.test_regression";"np.linspace";"1"
"f2pytests.test_array_from_pyobj";"__init__";"omma.core";"np.array.reshape.copy";"1"
"lib_core.test_multiarray";"test_dotcolumnvect2";"omma.testutils";"assert_almost_equal";"1"
"lib_core._exceptions";"__str__";"numpy.polynomial.tests.test_hermite_e";"self._size_to_string";"1"
"lib_core.test_umath";"test_spacingl";"numpy.polynomial.tests.test_hermite_e";"pytest.mark.xfail";"1"
"libtests.test_packbits";"test_packbits_empty";"omma.testutils";"assert_equal";"2"
"randomtests.test_randomstate";"check_function";"lib_core.test_ufunc";"x.start";"1"
"randomtests.test_generator_mt19937";"test_empty_outputs";"omtests.test_core.M";"MT19937";"1"
"ffttests.test_pocketfft";"test_rfft_odd";"numpy.polynomial.tests.test_hermite_e";"np.fft.rfft";"1"
"libtests.test_polynomial";"test_zero_poly_dtype";"libtests.test_regression";"z.astype";"3"
"typingtests.ndarray_misc";"test_issubclass";"lib_core.fromnumeric";"A.var";"4"
"omtests.test_ctypeslib";"test_basic2";"numpy.ctypeslib";"load_library";"1"
"lib_core.test_casting_unittests";"test_object_to_parametric_internal_error";"tedistutils.mingw32ccompiler";"type";"2"
"randomtests.test_generator_mt19937";"test_shuffle_custom_axis";"numpy.matlib";"random.shuffle";"2"
"f2pytests.test_character";"test_inout_varia";"omma.core";"np.array";"4"
"lib_core.test_dtype";"test_subarray_list";"omma.core";"np.array";"1"
"typingtests.ndarray_shape_manipulation";"__array__";"omma.core";"nd2.transpose";"3"
"lib_core.einsumfunc";"einsum_path";"omma.core";"input_list.pop";"1"
"f2pytests.test_callback";"test_string_callback_array";"omma.core";"np.array";"1"
"distutilscommand.config_compiler";"finalize_options";"_core";"len";"2"
"lib_core.test_stringdtype";"test_float_casts";"randomtests.test_smoke";"np.dtypes.Float64DType";"1"
"lib_core.test_dlpack";"test_dlpack_device";"libtests.test_regression";"z.__dlpack_device__";"1"
"randomtests.test_generator_mt19937";"test_generator_ctor_old_style_pickle";"liblinalg._linalg";"rg.standard_normal";"1"
"randomtests.test_direct";"test_getstate";"omlib._npyio_impl";"bit_generator.__getstate__";"1"
"omtests.test_core";"test_view_to_subdtype";"distutilstests.test_ccompiler_opt";"assert_";"3"
"tedistutils.ccompiler_opt";"ver_flags";"numpy.polynomial.tests.test_hermite_e";"f.split";"1"
"libtests.test_io";"test_skip_footer_with_invalid";"omma.testutils";"assert_equal";"4"
"lib_core.test_function_base";"test_start_stop_array";"lib_core.shape_base";"stack";"6"
"numpy.polynomial.tests.test_hermite";"test_hermpow";"omlib._twodim_base_impl";"range";"2"
"lib_core.test_datetime";"test_pickle";"omlib._twodim_base_impl";"range";"1"
"f2pytests.test_symbolic";"test_operations";"libtests.test_regression";"repr";"1"
"randomtests.test_generator_mt19937";"test_beta";"lib_core.test_ufunc";"Generator";"3"
"lib_core.test_dtype";"test_field_order_equality";"randomtests.test_smoke";"np.dtype";"2"
"omtests.test_core";"test_flatten_mask";"numpy.polynomial.tests.test_hermite_e";"flatten_mask";"3"
"tedistutils.misc_util";"add_include_dirs";"numpy.polynomial.tests.test_hermite_e";"self.paths";"1"
"lib_core.test_shape_base";"test_concatenate_axis_None";"omlib._twodim_base_impl";"range";"1"
"tedistutils.cpuinfo";"_is_singleCPU";"_core";"len";"2"
"lib_core.shape_base";"_block_check_depths_match";"numpy.polynomial.tests.test_hermite_e";"_block_format_index";"2"
"omtests.test_old_ma";"test_testBasic2d";"omlib._twodim_base_impl";"pytest.mark.parametrize";"1"
"py_utils._pep440";"__str__";"omma.core";"parts.append";"6"
"lib_core.test_regression";"test_object_array_self_copy";"omlib._utils_impl";"object";"1"
"libtests.test_arraypad";"test_bad_type";"omlib._arraypad_impl";"np.pad";"3"
"lib_core.test_strings";"test_isdigit";"omma.core";"assert_array_equal";"1"
"lib_core.test_multiarray";"test_arange_booleans";"omma.core";"np.array";"1"
"lib_core.test_umath";"test_overflows";"libtests.test_regression";"np.errstate";"1"
"omlib._shape_base_impl";"column_stack";"numpy.polynomial.tests.test_hermite_e";"array_function_dispatch";"1"
"libtests.test_shape_base";"test_3d";"omma.core";"np.arange.reshape";"1"
"lib_core.test_indexing";"test_boolean_shape_mismatch";"omma.core";"np.array";"2"
"libtests.test_type_check";"test_complex1";"numpy.polynomial.tests.test_hermite_e";"np.isfinite";"1"
"omma.core";"__call__";"lib_core.records";"list";"1"
"libtests.test__datasource";"test_windows_os_sep";"numpy.polynomial.tests.test_hermite_e";"self.test_ValidHTTP";"2"
"omlib._shape_base_impl";"hsplit";"libtests.test_function_base";"ValueError";"1"
"libtests.test_arraysetops";"test_manyways";"omma.core";"assert_array_equal";"1"
"lif2py.symbolic";"tostring";"omlib._twodim_base_impl";"right.tostring";"1"
"libtests.test_io";"test_recfromcsv";"numpy.polynomial.tests.test_hermite_e";"filename_type";"1"
"libtests.test_arraypad";"test_check_minimum_1";"omma.core";"np.array";"1"
"lib_core.test_shape_base";"test_casting_and_dtype";"libtests.test_regression";"np.hstack";"1"
"lib_core.test_deprecations";"create";"omma.core";"np.array";"1"
"lib_core.test_multiarray";"test_ragged_comparison_fails";"omlib._twodim_base_impl";"pytest.mark.parametrize";"1"
"numpy.polynomial.tests.test_polynomial";"test_fit_degenerate_domain";"tedistutils.log";"assert_warns";"1"
"distutilscommand.config";"get_output";"lib_core.test_ufunc";"hasattr";"1"
"lib_core.numeric";"count_nonzero";"numpy.polynomial.tests.test_hermite_e";"array_function_dispatch";"1"
"libtests.test_io";"test_gzip_loadtxt_from_string";"numpy.polynomial.tests.test_hermite_e";"f.write";"1"
"testingtests.test_utils";"no_warnings";"tedistutils.log";"warnings.warn";"1"
"lib_core.test_multiarray";"test_mean_where";"omma.testutils";"assert_equal";"2"
"libtests.test_io";"test_names_with_usecols_bug1636";"numpy.polynomial.tests.test_hermite_e";"np.genfromtxt";"3"
"libtests.test_format";"test_read_array_header_1_0";"lib_core.test_ufunc";"s.tell";"1"
"f2pytests.test_crackfortran";"test_nowrap_private_proceedures";"numpy.polynomial.tests.test_hermite_e";"crackfortran.crack2fortran";"1"
"lib_core.test_regression";"test_fromiter_bytes";"omlib._twodim_base_impl";"range";"2"
"omtests.test_core";"test_numpyarithmetic";"omlib._scimath_impl";"np.log";"2"
"omlib._nanfunctions_impl";"nanpercentile";"numpy.polynomial.polyutils";"np.true_divide";"1"
"lib_core.test_numeric";"test_clip_property";"omma.core";"np.maximum";"1"
"lib_core.test_deprecations";"test_deprecation_dtype_attribute_is_dtype";"numpy.polynomial.tests.test_hermite_e";"self.assert_deprecated";"4"
"numpy.matlib";"randn";"omlib._twodim_base_impl";"asmatrix";"1"
"lib_core.test_scalarmath";"test_builtin_abs";"numpy.polynomial.tests.test_hermite_e";"platform.release";"1"
"lif2py.crackfortran";"updatevars";"omma.core";"unmarkouterparen";"1"
"lib_core.test_dtype";"test_object_flag_not_inherited";"numpy.matlib";"np.ones";"1"
"randomtests.test_generator_mt19937";"test_permutation_exceptions";"libtests.test_regression";"np.arange";"2"
"omtests.test_core";"test_coercion_bytes";"numpy.matlib";"np.zeros";"1"
"lib_core.test_strings";"test_expandtabs";"omma.core";"np.array";"4"
"libtests.test_format";"test_python2_python3_interoperability";"libtests.test_regression";"os.path.dirname";"1"
"liblinalg._linalg";"tensorsolve";"omma.core";"asarray";"1"
"omtests.test_ctypeslib";"test_pointer";"omma.core";"np.arange.reshape";"1"
"distutilstests.test_ccompiler_opt";"expect_targets";"lib_core.test_ufunc";"re.match";"1"
"omtests.test_core";"test_fillvalue_conversion";"numpy.polynomial.tests.test_hermite_e";"a._optinfo.update";"1"
"py_utils._pep440";"__init__";"lib_core.test_regression";"_Version";"1"
"omlib.recfunctions";"merge_arrays";"numpy.polynomial.tests.test_hermite_e";"fval.item";"2"
"randomtests.test_smoke";"test_init";"distutilstests.test_ccompiler_opt";"assert_";"1"
"liblinalg._linalg";"solve";"distutilstests.test_ccompiler_opt";"_assert_stacked_square";"1"
"tedistutils.system_info";"_calc_info_flame";"numpy.polynomial.tests.test_hermite_e";"self.set_info";"1"
"omtests.test_mrecords";"test_set_mask";"omma.mrecords";"base.view";"1"
"lib_core.test_multiarray";"__array_finalize__";"lib_core.test_ufunc";"RuntimeError";"3"
"distutilstests.test_ccompiler_opt";"expect_flags";"_core";"len";"1"
"lib_core.test_multiarray";"test_all_where";"lib_core.fromnumeric";"a.a.all";"1"
"randomtests.test_randomstate";"test_hypergeometric";"libtests.test_regression";"hypergeom";"3"
"libtests.test_function_base";"test_subclass";"libtests.test_regression";"np.arctan";"2"
"distutilsfcompiler.absoft";"get_flags_fix";"libtests.test_regression";"opt.extend";"2"
"f2pytests.test_regression";"test_gh26148";"omma.core";"np.array";"2"
"omlib._function_base_impl";"hanning";"numpy.matlib";"ones";"1"
"lif2py.f90mod_rules";"dadd";"lif2py.auxfuncs";"hasbody";"1"
"numpy.polynomial.tests.test_printing";"test_polynomial_repr";"numpy.polynomial.tests.test_classes";"poly.Polynomial";"1"
"libtests.test__iotools";"test_creation";"omma.testutils";"assert_equal";"2"
"lib_core.test_indexing";"test_boolean_indexing_twodim";"omma.testutils";"assert_equal";"4"
"lif2py.symbolic";"traverse";"lif2py.crackfortran";"right.traverse";"1"
"libtests.test_histograms";"test_some_nan_values";"distutilstests.test_ccompiler_opt";"assert_raises";"2"
"tedistutils.npy_pkg_config";"parse_flags";"omlib._shape_base_impl";"split";"1"
"f2pytests.test_array_from_pyobj";"test_c_in_from_23seq";"lib_core.test_overrides";"a.has_shared_memory";"1"
"lib_core.einsumfunc";"einsum";"libtests.test_regression";"TypeError";"1"
"randomtests.test_regression";"__array__";"numpy.matlib";"np.random.seed";"1"
"omlib._function_base_impl";"_parse_input_dimensions";"omma.core";"_update_dim_sizes";"1"
"distutilscommand.build_ext";"report";"libtests.test_regression";"compiler.customize";"1"
"lib_core.test_nditer";"test_iter_too_large";"omlib._twodim_base_impl";"np.lib.stride_tricks.as_strided";"1"
"omtests.test_extras";"test_compress_nd";"omma.extras";"compress_nd";"18"
"lib_core.test_multiarray";"assert_c";"omlib._function_base_impl";"a.copy";"8"
"lib_core.test_multiarray";"test_structured_cast_promotion_fieldorder";"numpy.polynomial._polybase";"np.can_cast";"5"
"typingtests.random";"func";"numpy.matlib";"random_st.chisquare";"7"
"lib_core.test_ufunc";"test_at_not_none_signature";"numpy.matlib";"np.ones";"2"
"lib_core.test_numeric";"test_astype";"libtests.test_regression";"pytest.raises";"1"
"lib_core.test_einsum";"test_einsum_fixedstridebug";"libtests.test_regression";"np.einsum";"2"
"lif2py._src_pyf";"conv";"_core";"len";"1"
"lib_core.test_cpu_features";"assert_features_equal";"tedistutils.conv_template";"str.replace";"1"
"libtests.test_io";"test_missing_with_tabs";"lib_core.test_ufunc";"TextIO";"1"
"numpy.polynomial.tests.test_chebyshev";"test_chebval2d";"numpy.polynomial.chebyshev";"cheb.chebval2d";"2"
"lib_core._locales";"setup_method";"libtests.test_regression";"pytest.skip";"1"
"omlib.recfunctions";"join_by";"lib_core.records";"list";"1"
"numpy.polynomial.tests.test_polynomial";"test_polygrid3d";"libtests.test_regression";"np.einsum";"1"
"distutilscommand.build_ext";"build_extension";"omma.core";"include_dirs.append";"1"
"lib_core.test_regression";"test_object_array_circular_reference";"omma.testutils";"assert_equal";"1"
"libtests.test_histograms";"test_f32_rounding";"omma.testutils";"assert_equal";"1"
"lib_core.test_array_coercion";"scalar_instances";"libtests.test_regression";"np.uint32";"1"
"f2pytests.test_return_real";"check_function";"libtests.test_regression";"repr";"1"
"omlib._user_array_impl";"__div__";"lib_core._ufunc_config";"divide";"1"
"omlib.mixins";"func";"omlib.mixins";"_numeric_methods";"13"
"libtests.test_function_base";"test_otypes";"libtests.test_regression";"np.arange";"1"
"omlib._npyio_impl";"_read";"randomtests.test_smoke";"np.dtype";"2"
"lif2py.auxfuncs";"getargs2";"omma.core";"sortargs.append";"2"
"libtests.test_recfunctions";"test_outer_join";"omma.testutils";"assert_equal";"1"
"libtests.test_loadtxt";"test_quoted_field_is_not_empty_nonstrict";"omma.core";"np.array";"1"
"lib_core.test_dtype";"test_structured_object_indexing";"omlib._twodim_base_impl";"pytest.mark.parametrize";"2"
"ffttests.test_pocketfft";"test_irfft";"numpy.polynomial.tests.test_hermite_e";"pytest.mark.skipif";"1"
"numpy.polynomial.polynomial";"polyint";"lib_core.records";"list";"1"
"linalgtests.test_linalg";"test_reduced_rank";"liblinalg._linalg";"rng.normal";"1"
"lib_core.test_multiarray";"test_no_dgemv";"omlib._function_base_impl";"a.copy";"1"
"omtests.test_extras";"test_out_1d";"distutilstests.test_ccompiler_opt";"assert_";"2"
"lib_core.defchararray";"__ge__";"omtests.test_old_ma";"greater_equal";"1"
"omtests.test_core";"__rdiv__";"distutilstests.test_ccompiler_opt";"assert_";"6"
"lib_core.test_multiarray";"test_array_copy_false";"omma.core";"np.array";"3"
"f2pytests.test_parameter";"test_constant_no";"libtests.test_regression";"pytest.raises";"1"
"tedistutils.line_endings";"unix2dos_dir";"tedistutils.line_endings";"dos2unix_dir";"1"
"_pyinstallertests.pyinstaller-smoke";"test_pyinstaller";"omma.core";"np.sort";"1"
"omlib._type_check_impl";"real_if_close";"lib_core.fromnumeric";"_nx.all";"1"
"lib_core.test_multiarray";"test_empty_files_binary";"omlib._datasource";"open";"1"
"omtests.test_extras";"test_out_nan";"numpy.matlib";"np.ones";"1"
"omtests.test_core";"test_pickling_keepalignment";"omma.testutils";"assert_equal";"1"
"numpy.polynomial.tests.test_hermite_e";"test_hermesub";"numpy.polynomial.hermite_e";"herme.hermesub";"1"
"lib_core.test_stringdtype";"test_self_casts";"libtests.test_regression";"arr.astype";"5"
"numpy.polynomial.hermite";"herm2poly";"numpy.polynomial.polynomial";"polymulx";"2"
"distutilscommand.build_clib";"build_a_library";"_core";"os.remove";"1"
"libtests.test_stride_tricks";"test_same_as_ufunc";"numpy.polynomial.tests.test_hermite_e";"assert_same_as_ufunc";"5"
"lib_core.test_unicode";"test_valuesMD";"lib_core.fromnumeric";"all";"1"
"omtests.test_mrecords";"test_filled";"numpy.polynomial.tests.test_hermite_e";"fromarrays";"1"
"distutilscommand.build_src";"build_extension_sources";"libtests.test_regression";"os.path.basename";"1"
"tedistutils.misc_util";"add_data_files";"libtests.test_regression";"pattern_list.reverse";"1"
"numpy.polynomial.tests.test_hermite";"test_hermval3d";"numpy.polynomial.hermite";"herm.hermval3d";"2"
"lib_core.test_regression";"test_array_scalar_contiguous";"omma.core";"np.array";"4"
"omtests.test_core";"test_copy";"libtests.test_regression";"np.arange";"1"
"ffttests.test_pocketfft";"test_fft_inplace_out";"omma.core";"assert_array_equal";"14"
"lib_core.test_regression";"test_correct_hash_dict";"lib_core.test_ufunc";"set";"1"
"libtests.test_histograms";"test_weights";"libtests.test_regression";"np.arange";"2"
"distutilscommand.build_src";"swig_sources";"tedistutils.log";"log.warn";"7"
"distutilsfcompiler.intel";"runtime_library_dir_option";"tedistutils.ccompiler";"simple_version_match";"1"
"lib_core.test_datetime";"test_isnat";"libtests.test_regression";"np.timedelta64";"2"
"randomtests.test_generator_mt19937";"gen_random";"libtests.test_regression";"state.exponential";"1"
"libtests.test_arrayterator";"test";"distutilstests.test_ccompiler_opt";"assert_";"5"
"lib_core.test_umath";"test_abs_neg_blocked";"omma.testutils";"assert_equal";"2"
"libtests.test_function_base";"test_bias";"tedistutils.log";"assert_warns";"2"
"omlib._npyio_impl";"recfromtxt";"numpy.polynomial.tests.test_hermite_e";"genfromtxt";"1"
"lib_core.test_multiarray";"test_maximum_signed_integers";"libtests.test_regression";"np.datetime64";"24"
"omlib._twodim_base_impl";"triu_indices";"omma.core";"indices";"1"
"distutilsfcompiler.gnu";"_can_target";"libtests.test_regression";"os.path.exists";"1"
"tedistutils.system_info";"add_system_root";"omlib._datasource";"subprocess.Popen";"1"
"lib_core.test_ufunc";"test_conv1d_full_with_out";"numpy.matlib";"np.zeros";"1"
"lif2py.symbolic";"restore";"lib_core.records";"list";"1"
"omlib._arraypad_impl";"_round_if_needed";"randomtests.test_smoke";"np.issubdtype";"1"
"omtests.test_subclassing";"test_subclass_items";"distutilstests.test_ccompiler_opt";"assert_";"11"
"lib_core.test_regression";"test_pickle_string_overwrite";"omma.testutils";"assert_equal";"2"
"omlib._type_check_impl";"real_if_close";"numpy.polynomial.tests.test_hermite_e";"array_function_dispatch";"1"
"lif2py.crackfortran";"crack2fortrangen";"numpy.polynomial.tests.test_hermite_e";"use2fortran";"1"
"omtests.test_extras";"test_setdiff1d";"omma.testutils";"assert_equal";"3"
"numpy.polynomial.tests.test_hermite_e";"test_hermevander2d";"omma.testutils";"assert_almost_equal";"1"
"randomtests.test_random";"gen_random";"libtests.test_regression";"state.exponential";"1"
"f2pytests.test_parameter";"test_constant_no";"libtests.test_regression";"np.arange";"2"
"lib_core.test_indexerrors";"test_arraytypes_fasttake";"numpy.matlib";"np.empty";"1"
"lib_core.test_casting_unittests";"test_numeric_to_times";"numpy.polynomial.tests.test_hermite_e";"self.get_data_variation";"1"
"numpy.polynomial.tests.test_classes";"test_add";"numpy.polynomial.tests.test_classes";"assert_poly_almost_equal";"7"
"distutilsfcompiler.mips";"get_flags_arch_f90";"libtests.test_regression";"print";"1"
"numpy.polynomial.tests.test_chebyshev";"test_chebsub";"numpy.matlib";"np.zeros";"1"
"lib_core.test_regression";"test_pickle_empty_string";"omlib._twodim_base_impl";"range";"1"
"randomtests.test_smoke";"test_init";"liblinalg._linalg";"rg.standard_normal";"2"
"lib_core.test_numeric";"test_array_equal_different_scalar_types";"omma.core";"np.array_equal";"1"
"lib_core.test_multiarray";"test_vector_vector_values";"omma.core";"v1.reshape";"1"
"lib_core.test_einsum";"test_path_type_input_internal_trace";"numpy.polynomial.tests.test_hermite_e";"self.assert_path_equal";"1"
"testing_private.utils";"GetPerformanceAttributes";"libtests.test_regression";"win32pdh.RemoveCounter";"1"
"randomtests.test_generator_mt19937_regressions";"test_shuffle_of_array_of_objects";"numpy.polynomial.tests.test_hermite_e";"self.mt19937.shuffle";"1"
"lib_core.test_regression";"test_uint_int_conversion";"omma.testutils";"assert_equal";"1"
"libtests.test_io";"test_invalid_raise_with_usecols";"testing_private.utils";"dict";"1"
"lib_core.test_ufunc";"test_signature6";"omma.testutils";"assert_equal";"5"
"lib_core.test_simd";"test_memory_partial_load";"lib_core.records";"list";"1"
"tedistutils.cpuinfo";"command_by_line";"omma.core";"getoutput";"1"
"randomtests.test_generator_mt19937";"test_vonmises_large_kappa_range";"distutilstests.test_ccompiler_opt";"assert_";"1"
"lib_core.test_custom_dtypes";"test_wrapped_and_wrapped_reductions";"omma.core";"assert_array_equal";"1"
"libtests.test_recfunctions";"structured";"randomtests.test_smoke";"np.dtype";"1"
"randomtests.test_direct";"test_cffi";"omma.extras";"isinstance";"1"
"numpy.polynomial.tests.test_chebyshev";"test_chebint_axis";"numpy.polynomial.chebyshev";"cheb.chebint";"6"
"omlib._datasource";"_sanitize_relative_path";"omlib._twodim_base_impl";"path.lstrip";"2"
"lib_core.test_regression";"test_pickle_py2_bytes_encoding";"libtests.test_regression";"np.str_";"1"
"omma.mrecords";"_guessvartypes";"libtests.test_regression";"complex";"1"
"lif2py.crackfortran";"compute_deps";"numpy.polynomial.tests.test_hermite_e";"coeffs_and_deps.get";"1"
"lib_core.test_umath";"test_type_conversion";"libtests.test_regression";"zip";"1"
"omlib._twodim_base_impl";"histogram2d";"omlib._histograms_impl";"histogramdd";"1"
"tedistutils.misc_util";"paths";"tedistutils.misc_util";"gpaths";"1"
"liblinalg._linalg";"eigvalsh";"libtests.test_regression";"w.astype";"1"
"libtests.test_arraypad";"test_zero_stat_length_valid";"numpy.polynomial.tests.test_hermite_e";"pytest.mark.filterwarnings";"2"
"omma.extras";"_ezclump";"lib_core.fromnumeric";"mask.ravel";"1"
"tedistutils.misc_util";"get_ext_source_files";"tedistutils.misc_util";"is_local_src_dir";"1"
