"source-path";"source-operation";"target-path";"target-operation";"calls"
"lif2py.diagnose";"run";"numpy.__config__";"fcompiler.show_fcompilers";"1"
"libtests.test_histograms";"test_simple";"omlib._histograms_impl";"histogram";"2"
"lib_core.strings";"replace";"libtests.test_regression";"new.astype";"1"
"lib_core.test_stringdtype";"test_isnan";"numpy._core";"bool";"1"
"lib_core.test_umath_complex";"test_scalar";"libtests.test_regression";"complex";"2"
"omlib._function_base_impl";"flip";"libtests.test_regression";"_nx.normalize_axis_tuple";"1"
"lib_core.test_multiarray";"test_nan";"omma.core";"input_arr.clip";"1"
"libtests.test_nanfunctions";"test_allnans";"_core";"len";"4"
"lib_core.test_numeric";"test_clip_with_out_memory_overlap";"libtests.test_regression";"a.a.clip";"1"
"lib_core.test_multiarray";"test_argsort_int";"omma.core";"np.argsort";"2"
"numpy.__config__";"_cleanup";"lib_core.strings";"lower";"3"
"lib_core.test_multiarray";"test_matmul_bool";"omma.mrecords";"b.view";"1"
"omlib._function_base_impl";"_vectorize_call_with_signature";"libtests.test_regression";"TypeError";"1"
"liblinalg._linalg";"cholesky";"libtests.test_regression";"isComplexType";"1"
"lib_core.einsumfunc";"_greedy_path";"numpy.polynomial.tests.test_hermite_e";"_flop_count";"1"
"lib_core.test_multiarray";"test_file_position_after_fromfile";"numpy.polynomial.tests.test_hermite_e";"np.fromfile";"1"
"omtests.test_deprecations";"_test_base";"omma.core";"argsort";"5"
"lib_core.test_numeric";"sum";"omma.core";"np.ndarray.sum";"1"
"libtests.test_shape_base";"test_replace_max";"omma.testutils";"assert_equal";"1"
"lib_core.test_indexing";"test_empty_fancy_index";"omma.core";"np.array";"3"
"omlib._shape_base_impl";"tile";"omma.core";"_nx.array";"2"
"tedistutils.ccompiler_opt";"try_dispatch";"omma.core";"include_dirs.append";"1"
"tedistutils.ccompiler";"CCompiler_customize";"numpy.polynomial.tests.test_hermite_e";"self.compiler.self.compiler.replace";"1"
"lib_core.test_numeric";"setup_method";"omma.core";"sorted";"2"
"omfft._pocketfft";"fft2";"numpy.polynomial.tests.test_hermite_e";"array_function_dispatch";"1"
"lib_core.test_ufunc";"test_identityless_reduction_huge_array";"numpy.polynomial.tests.test_hermite_e";"pytest.mark.skipif";"1"
"omtests.test_core";"test_reshape";"omma.testutils";"assert_equal";"9"
"lib_core.test_cpu_features";"test_variable_too_long";"numpy.polynomial.tests.test_hermite_e";"self._expect_error";"1"
"libtests.test_type_check";"test_fail";"omma.core";"np.array";"2"
"libtests.test_histograms";"test_bool_conversion";"tedistutils.log";"suppress_warnings";"1"
"linalgtests.test_linalg";"apply_tag";"lib_core.test_umath_complex";"LinalgCase";"33"
"tedistutils.system_info";"library_extensions";"omma.core";"static_exts.append";"2"
"lib_core.test_multiarray";"test_int";"builtins";"hash";"10"
"lib_core.test_multiarray";"test_inner_product_with_various_contiguities";"omma.core";"np.array.item";"1"
"randomtests.test_random";"test_repeatability";"lib_core.test_ufunc";"hashlib.sha256.hexdigest";"2"
"libtests.test_io";"test_from_float_hex";"libtests.test_io";"c.seek";"1"
"f2pytests.test_callback";"check_function";"omlib._function_base_impl";"t";"9"
"lib_core.test_multiarray";"test_argsort";"lib_core.fromnumeric";"a.ravel";"1"
"lif2py.capi_maps";"routsign2map";"omlib._npyio_impl";"getpydocsign";"1"
"randomtests.test_randomstate_regression";"test_call_within_randomstate";"omlib._twodim_base_impl";"range";"1"
"numpy.polynomial.tests.test_laguerre";"test_100";"numpy.polynomial.laguerre";"lag.laggauss";"1"
"lib_core.arrayprint";"_format_non_nat";"omlib._twodim_base_impl";"datetime_as_string";"1"
"typingtests.fromnumeric";"__float__";"omma.core";"np.searchsorted";"4"
"linalgtests.test_linalg";"test_basic_property";"omma.core";"np.asarray";"1"
"distutilscommand.build_clib";"build_a_library";"lib_core.test_umath_complex";"glob";"2"
"lib_core.test_multiarray";"test_view";"numpy.matlib";"self._zeros";"1"
"distutilsfcompiler.intel";"get_flags_opt";"numpy.polynomial.tests.test_hermite_e";"self.get_version";"1"
"lib_core.test_multiarray";"test_io_open_unbuffered_fromfile";"numpy.polynomial.tests.test_hermite_e";"np.fromfile";"1"
"lib_core.test_records";"test_recarray_views";"omma.mrecords";"r.view";"6"
"libtests.test_histograms";"do_signed_overflow_bounds";"omma.core";"np.array";"1"
"omtests.test_mrecords";"test_view_flexible_type";"omma.mrecords";"mrec.view";"1"
"libtests.test_io";"test_not_closing_opened_fid";"distutilstests.test_ccompiler_opt";"assert_";"3"
"omtests.test_mrecords";"test_get";"numpy.polynomial.tests.test_hermite_e";"self.base.copy";"1"
"lib_core.test_simd";"test_reorder";"lib_core.records";"list";"4"
"numpy.polynomial.tests.test_classes";"test_floordiv";"numpy.polynomial.tests.test_classes";"Poly";"6"
"lib_core.test_multiarray";"_clip_type";"libtests.test_regression";"astype";"1"
"numpy.polynomial.tests.test_legendre";"test_legval2d";"numpy.polynomial.legendre";"leg.legval2d";"2"
"lib_core.test_simd";"test_memory_noncont_load";"lib_core.records";"list";"2"
"lib_core.test_nditer";"iter_multi_index";"omma.core";"ret.append";"1"
"lif2py.crackfortran";"readfortrancode";"libtests.test_regression";"os.path.join";"2"
"randomtests.test_randomstate";"test_rayleigh";"numpy.polynomial.tests.test_hermite_e";"self.set_seed";"1"
"omtests.test_core";"test_optinfo_forward_propagation";"omma.testutils";"assert_equal";"15"
"lib_core.test_umath";"test_memoverlap_accumulate_cmp";"matrixlibtests.test_regression";"itertools.accumulate";"1"
"omtests.test_old_ma";"test_testMasked";"lif2py.auxfuncs";"str";"1"
"lib_core.test_multiarray";"test_0d_shape";"omma.testutils";"assert_equal";"4"
"libtests.test_histograms";"nbins_ratio";"libtests.test_regression";"np.geomspace";"1"
"omlib._index_tricks_impl";"__init__";"omlib._twodim_base_impl";"as_strided";"1"
"lif2py.crackfortran";"analyzeline";"libtests.test_regression";"m2.group";"4"
"libtests.test_nanfunctions";"test_small_large";"omma.extras";"np.nanmedian";"1"
"omma.core";"ptp";"numpy.polynomial.tests.test_hermite_e";"self.min";"2"
"lib_core.test_umath";"_check_branch_cut";"libtests.test_regression";"np.absolute";"12"
"lib_core.test_multiarray";"test_argsort";"omma.core";"a.copy.argsort";"10"
"lib_core._dtype";"_struct_list_str";"numpy.polynomial.tests.test_hermite_e";"format";"3"
"lib_core.test_ufunc";"test_sig_signature";"distutilstests.test_ccompiler_opt";"assert_raises";"1"
"omma.core";"view";"omma.core";"output._mask.view";"1"
"lib_core.test_dtype";"check_canonical";"libtests.test_regression";"np.result_type";"1"
"omtests.test_mrecords";"test_fromrecords_wmask";"lib_core.test_ufunc";"nrec.tolist";"4"
"libtests.test_function_base";"test_index_array_copied";"omma.core";"np.array";"2"
"tedistutils.misc_util";"is_sequence";"tedistutils.misc_util";"is_string";"1"
"omlib._type_check_impl";"real_if_close";"lib_core.test_ufunc";"_nx.absolute";"1"
"lib_core.test_indexing";"test_getitem";"libtests.test_regression";"np.arange";"1"
"randomtests.test_random";"test_lognormal_0";"distutilstests.test_ccompiler_opt";"assert_raises";"1"
"tedistutils.misc_util";"get_version";"py_utils._inspect";"join";"1"
"lib_core.test_stringdtype";"setup_class";"omlib._twodim_base_impl";"StringDType";"1"
